"Date","Distance","Duration","Activity","Avg.HR","Steps","Cal.Burned"
2020-09-06,3.1,1787,"Run",161,4819,328
2020-09-04,3.01,1434,"Run",149,3892,381
2020-09-02,3.5,1902,"Run",149,1814,456
2020-09-01,3.1,1594,"Run",149,4288,404
2020-08-29,3.21,1778,"Run",76,5219,421
2020-08-28,1.88,1263,"Run",142,3051,199
2020-08-25,2.43,1388,"Run",142,3759,249
2020-08-24,1.9,1031,"Run",150,2703,108
2020-08-21,2.28,1527,"Run",123,3576,228
2020-08-19,4.19,3411,"Run",120,7331,418
2020-08-18,2.89,1995,"Run",124,4703,300
2020-08-16,5.26,3129,"Run",121,8416,541
2020-08-15,2.24,1294,"Run",127,3477,227
2020-08-14,2.17,1239,"Run",143,3364,228
2020-08-13,4.19,2507,"Run",148,6733,438
2020-08-12,2.63,1523,"Run",139,4094,270
2020-08-11,2.99,1647,"Run",149,4476,326
2020-08-10,3.1,1779,"Run",149,4834,322
2020-08-07,2,1049,"Run",149,2797,261
2020-08-06,3.34,1927,"Run",149,5057,445
2020-08-05,3.68,2087,"Run",149,5265,487
2020-08-04,3.52,1998,"Run",149,5350,467
2020-08-03,3.74,2140,"Run",127,5766,393
2020-08-02,2.24,1302,"Run",127,3499,236
2020-08-01,2.68,1540,"Run",150,4155,300
2020-07-31,2,1135,"Run",153,3047,211
2020-07-30,4,2715,"Run",151,6478,439
2020-07-28,3.11,1826,"Run",147,4926,328
2020-07-27,3.09,1669,"Run",160,4501,325
2020-07-26,1.69,998,"Run",152,2635,105
2020-07-24,2.85,1638,"Run",156,4356,312
2020-07-23,3.48,2070,"Run",159,5564,385
2020-07-21,2.02,1122,"Run",151,3008,213
2020-07-20,2.06,1157,"Run",157,3131,232
2020-07-17,1.16,649,"Run",117,1728,118
2020-07-16,3.34,1819,"Run",128,4894,348
2020-07-13,4,2297,"Run",117,6253,412
2020-07-12,3.22,1807,"Run",130,4845,326
2020-07-10,3.43,2046,"Run",141,5506,368
2020-07-09,2.62,1563,"Run",138,4211,261
2020-07-08,2.63,1529,"Run",137,4178,266
2020-07-07,2.56,1390,"Run",144,3798,261
2020-07-03,3.51,2096,"Run",150,5711,378
2020-06-30,3.17,1809,"Run",130,4963,339
2020-06-29,1.4,810,"Run",146,2199,144
2020-06-28,4.34,2571,"Run",122,6954,447
2020-06-27,0.3,397,"Walk",119,652,33
2020-06-26,0.83,969,"Walk",80,1752,56
2020-06-25,4.63,2633,"Run",145,7040,496
2020-06-24,4.06,2187,"Run",150,5907,438
2020-06-23,7.82,4546,"Run",130,12387,822
2020-06-21,1.02,1117,"Walk",102,1920,96
2020-06-20,5.02,2964,"Run",129,7906,517
2020-06-19,4.75,2816,"Run",148,7597,518
2020-06-18,0.91,1078,"Walk",112,1587,89
2020-06-16,2.82,1553,"Run",150,4146,291
2020-06-15,4.02,2285,"Run",148,6202,426
2020-06-14,7.02,4187,"Run",151,11262,754
2020-06-11,7.26,4140,"Run",154,11214,797
2020-06-08,4.02,2317,"Run",151,6298,439
2020-06-07,1.1,691,"Run",154,1863,152
2020-06-06,1.2,1506,"Walk",114,2428,118
2020-06-05,0.27,322,"Walk",117,558,26
2020-06-04,1.01,653,"Run",150,1762,109
2020-06-03,3.1,1585,"Run",160,4350,328
2020-06-02,2.82,2623,"Walk",122,5314,298
2020-05-30,13.43,8767,"Run",145,23604,1508
2020-05-28,3.1,1744,"Run",149,4647,409
2020-05-27,8.34,5055,"Run",152,14073,897
2020-05-26,1.01,608,"Run",149,1776,109
2020-05-25,1.68,1079,"Run",154,2980,187
2020-05-24,6.58,4916,"Run",133,10923,676
2020-05-22,0.85,523,"Run",155,1437,95
2020-05-21,3.35,1758,"Run",157,4948,350
2020-05-20,3.1,1698,"Run",149,4537,405
2020-05-19,3.1,1566,"Run",149,4221,401
2020-05-18,2.02,1027,"Run",161,2899,215
2020-05-16,6.91,4063,"Run",155,11290,758
2020-05-15,5.65,3153,"Run",162,8721,627
2020-05-12,7.02,3998,"Run",153,10975,757
2020-05-09,1.06,1437,"Walk",103,2320,114
2020-05-06,4.54,2496,"Run",156,7000,487
2020-05-04,3.52,1882,"Run",152,5211,370
2020-05-03,1.56,3072,"Walk",103,3372,170
2020-05-02,4.27,2309,"Run",160,6298,459
2020-05-01,5.63,3120,"Run",151,8617,588
2020-04-29,3.2,1823,"Run",133,5060,341
2020-04-27,6.23,3628,"Run",137,10080,634
2020-04-26,0.89,1358,"Walk",76,1800,72
2020-04-25,0.72,825,"Walk",116,1451,75
2020-04-24,4.82,2543,"Run",159,6922,512
2020-04-22,4.35,2353,"Run",148,6417,461
2020-04-21,4.2,2207,"Run",158,5944,436
2020-04-20,0.42,606,"Walk",91,830,34
2020-04-19,1,1119,"Walk",107,2031,100
2020-04-18,1.57,881,"Run",163,2395,167
2020-04-16,5.1,2751,"Run",149,7362,663
2020-04-14,3.11,1504,"Run",149,4074,396
2020-04-11,1.04,1285,"Walk",109,1871,87
2020-04-10,3.1,1631,"Run",149,4377,403
2020-04-07,4.1,2274,"Run",149,6286,420
2020-04-06,0.25,248,"Run",149,568,25
2020-04-05,4.14,2227,"Run",155,6200,428
2020-04-04,1.06,964,"Walk",123,1903,86
2020-04-02,3.1,1593,"Run",149,4286,404
2020-04-01,3.1,1639,"Run",149,4395,403
2020-03-31,1.1,634,"Run",149,1686,147
2020-03-30,3.1,1615,"Run",149,4338,403
2020-03-28,0.51,572,"Walk",103,1041,43
2020-03-26,1,594,"Run",149,1574,135
2020-03-25,4,2179,"Run",149,5825,522
2020-03-24,5,2718,"Run",149,7268,652
2020-03-23,4.7,2400,"Run",149,6461,610
2020-03-20,4.1,2098,"Run",149,5733,533
2020-03-19,3.1,1508,"Run",149,4082,396
2020-03-18,3.1,1575,"Run",149,4243,402
2020-03-17,4,2183,"Run",149,5835,522
2020-03-16,3.1,1489,"Run",149,4037,394
2020-03-15,3.2,1800,"Run",149,4796,423
