"","Date.Sub","Date","Activity","Cal.Burned","Distance","Duration","Avg.Pace","Max.Pace","Avg.Spd","Max.Spd","Avg.HR","Steps","Minutes","day","dayofmonth","month","year"
"59","Jan. 16, 2023",2023-01-16,"Run",772,6.22,3936,10.55,0.48,5.69,125.06,151,10453,65.6,"Monday",16,"January","2023"
"60","Jan. 13, 2023",2023-01-13,"Run",383,3.11,1682,9.02,0.42,6.65,143.53,162,4387,28.03,"Friday",13,"January","2023"
"61","Jan. 11, 2023",2023-01-11,"Run",388,3.65,3252,14.83,1.09,4.05,54.89,0,6244,54.2,"Wednesday",11,"January","2023"
"62","Jan. 11, 2023",2023-01-07,"Run",1878,13.1,9056,11.52,0.69,5.21,86.84,140,21488,150.93,"Saturday",7,"January","2023"
"63","Dec. 31, 2022",2022-12-31,"Run",828,6.21,4067,10.91,0.73,5.5,81.65,159,10739,67.78,"Saturday",31,"December","2022"
"64","Dec. 26, 2022",2022-12-26,"Run",428,3.1,1960,10.54,4.13,5.69,14.54,144,5175,32.67,"Monday",26,"December","2022"
"65","Dec. 25, 2022",2022-12-25,"Run",760,6.21,3781,10.13,8.79,5.92,6.83,154,9912,63.02,"Sunday",25,"December","2022"
"66","Dec. 24, 2022",2022-12-24,"Run",411,3.1,1763,9.48,0,6.33,0,NA,4692,29.38,"Saturday",24,"December","2022"
"67","Dec. 24, 2022",2022-12-23,"Run",410,3.1,1750,9.41,0,6.38,0,NA,4661,29.17,"Friday",23,"December","2022"
"68","Dec. 20, 2022",2022-12-20,"Run",420,3.1,1870,10.05,0,5.97,0,NA,4948,31.17,"Tuesday",20,"December","2022"
"69","Dec. 20, 2022",2022-12-20,"Run",411,3.1,1760,9.46,0,6.34,0,NA,4685,29.33,"Tuesday",20,"December","2022"
"70","Dec. 19, 2022",2022-12-18,"Run",410,3.1,1754,9.43,0,6.36,0,NA,4671,29.23,"Sunday",18,"December","2022"
"71","Dec. 19, 2022",2022-12-17,"Run",410,3.1,1748,9.4,0,6.38,0,NA,4656,29.13,"Saturday",17,"December","2022"
"72","Dec. 14, 2022",2022-12-14,"Run",272,2.02,1201,9.91,2.38,6.05,25.2,150,1685,20.02,"Wednesday",14,"December","2022"
"73","Dec. 12, 2022",2022-12-12,"Run",418,3.1,1836,9.87,9.02,6.08,6.65,160,4716,30.6,"Monday",12,"December","2022"
"74","Dec. 11, 2022",2022-12-11,"Run",418,3.1,1845,9.92,1.19,6.05,50.38,NA,2325,30.75,"Sunday",11,"December","2022"
"75","Dec. 4, 2022",2022-12-04,"Run",440,3.1,2093,11.25,1.57,5.33,38.31,134,3227,34.88,"Sunday",4,"December","2022"
"76","Dec. 3, 2022",2022-12-03,"Run",762,6.21,3854,10.34,0.52,5.8,115.39,153,10072,64.23,"Saturday",3,"December","2022"
"77","Nov. 27, 2022",2022-11-27,"Run",769,6.26,3884,10.33,0.91,5.81,66.28,147,10292,64.73,"Sunday",27,"November","2022"
"78","Nov. 26, 2022",2022-11-26,"Run",415,3.1,1804,9.7,1.45,6.19,41.24,150,4660,30.07,"Saturday",26,"November","2022"
"79","Nov. 24, 2022",2022-11-24,"Run",403,3.1,1658,8.91,3.98,6.73,15.07,145,4439,27.63,"Thursday",24,"November","2022"
"80","Nov. 23, 2022",2022-11-23,"Run",414,3.1,1801,9.68,5.58,6.2,10.76,160,2052,30.02,"Wednesday",23,"November","2022"
"81","Nov. 22, 2022",2022-11-22,"Run",415,3.1,1803,9.69,13.66,6.19,4.39,163,15,30.05,"Tuesday",22,"November","2022"
"82","Nov. 19, 2022",2022-11-19,"Run",428,3.1,1956,10.52,5.7,5.71,10.53,157,4102,32.6,"Saturday",19,"November","2022"
"83","Nov. 14, 2022",2022-11-14,"Run",420,3.1,1870,10.05,0,5.97,0,NA,4948,31.17,"Monday",14,"November","2022"
"84","Nov. 10, 2022",2022-11-10,"Run",429,3.1,1970,10.59,0,5.66,0,NA,5187,32.83,"Thursday",10,"November","2022"
"85","Nov. 9, 2022",2022-11-09,"Run",420,3.1,1865,10.03,0,5.98,0,NA,4936,31.08,"Wednesday",9,"November","2022"
"86","Nov. 5, 2022",2022-11-05,"Run",1756,13.1,7665,9.75,0.45,6.15,134.62,145,20519,127.75,"Saturday",5,"November","2022"
"87","Nov. 2, 2022",2022-11-02,"Run",648,4.87,2794,9.56,1.67,6.27,35.98,156,4377,46.57,"Wednesday",2,"November","2022"
"88","Oct. 29, 2022",2022-10-29,"Run",436,3.1,2052,11.03,1.31,5.44,45.74,145,3445,34.2,"Saturday",29,"October","2022"
"89","Oct. 23, 2022",2022-10-23,"Run",375,3.11,1695,9.07,1.72,6.62,34.88,161,4465,28.25,"Sunday",23,"October","2022"
"90","Oct. 22, 2022",2022-10-22,"Run",404,3.1,1605,8.63,0,6.95,0,163,4314,26.75,"Saturday",22,"October","2022"
"91","Oct. 16, 2022",2022-10-16,"Run",815,6.26,3977,10.59,0.88,5.66,68.06,151,10532,66.28,"Sunday",16,"October","2022"
"92","Oct. 15, 2022",2022-10-15,"Indoor Run / Jog",403,3.1,1635,8.79,9.82,6.83,6.11,153,4237,27.25,"Saturday",15,"October","2022"
"93","Oct. 12, 2022",2022-10-12,"Run",354,2.89,1744,10.06,1.95,5.97,30.77,159,4608,29.07,"Wednesday",12,"October","2022"
"94","Oct. 10, 2022",2022-10-10,"Run",1867,13.1,8937,11.37,0.26,5.28,231.49,146,22295,148.95,"Monday",10,"October","2022"
"95","Oct. 3, 2022",2022-10-02,"Run",1257,10.49,6544,10.4,0.15,5.77,408.59,143,17144,109.07,"Sunday",2,"October","2022"
"96","Oct. 1, 2022",2022-10-01,"Run",872,6.5,4195,10.75,0.55,5.58,109.14,152,11068,69.92,"Saturday",1,"October","2022"
"97","Sept. 25, 2022",2022-09-25,"Run",1261,9.02,5803,10.72,0.82,5.6,72.78,159,15198,96.72,"Sunday",25,"September","2022"
"98","Sept. 24, 2022",2022-09-24,"Run",618,4.65,2799,10.03,1.17,5.98,51.49,162,7380,46.65,"Saturday",24,"September","2022"
"99","Sept. 23, 2022",2022-09-23,"Run",412,3.1,1775,9.54,0,6.29,0,NA,4721,29.58,"Friday",23,"September","2022"
"100","Sept. 18, 2022",2022-09-18,"Indoor Run / Jog",413,3.1,1779,9.56,10.57,6.27,5.67,138,4212,29.65,"Sunday",18,"September","2022"
"101","Sept. 17, 2022",2022-09-17,"Run",415,3.11,1892,10.14,0.45,5.91,134.37,159,4970,31.53,"Saturday",17,"September","2022"
"102","Sept. 11, 2022",2022-11-20,"Run",459,3.66,2273,10.35,0.47,5.8,128.46,146,6002,37.88,"Sunday",20,"November","2022"
"103","Sept. 7, 2022",2022-07-20,"Run",655,4.9,2844,9.67,0,6.2,0,NA,7554,47.4,"Wednesday",20,"July","2022"
"104","Sept. 5, 2022",2022-05-20,"Run",629,5.01,3964,13.18,0.4,4.55,148.19,125,8485,66.07,"Friday",20,"May","2022"
"105","Sept. 4, 2022",2022-04-20,"Run",491,3.75,2584,11.49,1.28,5.22,46.87,143,6236,43.07,"Wednesday",20,"April","2022"
"106","Sept. 3, 2022",2022-03-20,"Run",601,4.5,2941,10.89,2.25,5.51,26.62,151,7436,49.02,"Sunday",20,"March","2022"
"107","Sept. 2, 2022",2022-02-20,"Indoor Run / Jog",800,5.85,3600,10.26,10.42,5.85,5.76,133,9604,60,"Sunday",20,"February","2022"
"108","Aug. 31, 2022",2022-08-31,"Run",670,5.01,2913,9.69,0,6.19,0,NA,4716,48.55,"Wednesday",31,"August","2022"
"109","Aug. 30, 2022",2022-08-30,"Indoor Run / Jog",408,3.1,1723,9.26,9.31,6.48,6.44,147,4396,28.72,"Tuesday",30,"August","2022"
"110","Aug. 29, 2022",2022-08-29,"Indoor Run / Jog",412,3.1,1777,9.55,10.06,6.28,5.96,134,4270,29.62,"Monday",29,"August","2022"
"111","Aug. 28, 2022",2022-08-28,"Run",628,5.2,4333,13.88,8.19,4.32,7.32,107,9242,72.22,"Sunday",28,"August","2022"
"112","Aug. 27, 2022",2022-08-27,"Run",610,4.73,3953,13.91,8.97,4.31,6.69,119,8206,65.88,"Saturday",27,"August","2022"
"113","Aug. 26, 2022",2022-08-26,"Indoor Run / Jog",414,3.1,1801,9.68,9.66,6.2,6.21,142,4616,30.02,"Friday",26,"August","2022"
"114","Aug. 22, 2022",2022-08-22,"Indoor Run / Jog",414,3.1,1801,9.68,9.96,6.2,6.03,144,4599,30.02,"Monday",22,"August","2022"
"115","Aug. 20, 2022",2022-08-20,"Run",1544,13.11,11065,14.07,7.71,4.27,7.78,140,22531,184.42,"Saturday",20,"August","2022"
"116","Aug. 17, 2022",2022-08-17,"Indoor Run / Jog",859,6.56,3600,9.15,10.37,6.56,5.79,147,9295,60,"Wednesday",17,"August","2022"
"117","Aug. 15, 2022",2022-08-15,"Indoor Run / Jog",632,4.74,3600,12.66,10.42,4.74,5.76,122,8146,60,"Monday",15,"August","2022"
"118","Aug. 14, 2022",2022-08-14,"Run",618,6.38,4663,12.17,8.82,4.93,6.8,128,11001,77.72,"Sunday",14,"August","2022"
"119","Aug. 12, 2022",2022-08-12,"Indoor Run / Jog",831,6.21,3617,9.71,9.71,6.18,6.18,144,9306,60.28,"Friday",12,"August","2022"
"120","Aug. 11, 2022",2022-08-11,"Run",576,4.63,3712,13.37,1.55,4.49,38.8,116,7878,61.87,"Thursday",11,"August","2022"
"121","Aug. 10, 2022",2022-08-10,"Run",863,7.02,4441,10.54,0.97,5.69,62.01,144,11520,74.02,"Wednesday",10,"August","2022"
"122","Aug. 9, 2022",2022-08-09,"Run",626,6.35,4274,11.21,1.05,5.35,57.02,145,11074,71.23,"Tuesday",9,"August","2022"
"123","Aug. 8, 2022",2022-08-08,"Run",797,6.35,4013,10.53,0.5,5.7,119.16,146,10360,66.88,"Monday",8,"August","2022"
"124","Aug. 6, 2022",2022-08-06,"Walk",290,2.14,2267,17.64,2.31,3.4,25.99,119,4141,37.78,"Saturday",6,"August","2022"
"125","Aug. 6, 2022",2022-08-06,"Run",311,2.37,1410,9.91,0.95,6.05,62.99,152,3639,23.5,"Saturday",6,"August","2022"
"126","Aug. 3, 2022",2022-08-03,"Run",820,6.09,3600,9.85,0,6.09,0,NA,9545,60,"Wednesday",3,"August","2022"
"127","July 30, 2022",2022-07-30,"Run",1117,8,5187,10.81,0,5.55,0,NA,13634,86.45,"Saturday",30,"July","2022"
"128","July 28, 2022",2022-07-28,"Run",314,3.16,1905,10.06,0.38,5.96,158.18,158,5020,31.75,"Thursday",28,"July","2022"
"129","July 25, 2022",2022-07-25,"Run",430,4.26,6268,24.48,0.83,2.45,72.12,87,8227,104.47,"Monday",25,"July","2022"
"130","July 24, 2022",2022-07-24,"Run",415,3.1,1805,9.7,0,6.18,0,NA,4793,30.08,"Sunday",24,"July","2022"
"131","July 21, 2022",2022-07-21,"Walk",227,1.6,1657,17.21,1.7,3.49,35.29,131,3001,27.62,"Thursday",21,"July","2022"
"132","July 21, 2022",2022-07-21,"Run",422,3.1,1857,9.98,1.21,6.01,49.56,158,4849,30.95,"Thursday",21,"July","2022"
"133","July 20, 2022",2022-07-20,"Run",836,6.2,3689,9.92,0,6.05,0,NA,9775,61.48,"Wednesday",20,"July","2022"
"134","July 18, 2022",2022-07-18,"Run",1175,9,5709,10.57,0.46,5.68,130.3,143,14918,95.15,"Monday",18,"July","2022"
"135","July 17, 2022",2022-07-17,"Run",404,3.1,1593,8.56,0,7.01,0,NA,4286,26.55,"Sunday",17,"July","2022"
"136","July 17, 2022",2022-07-16,"Run",405,3.1,1698,9.13,0,6.57,0,NA,4537,28.3,"Saturday",16,"July","2022"
"137","July 14, 2022",2022-07-14,"Run",452,3.76,2157,9.56,1,6.27,59.92,148,5684,35.95,"Thursday",14,"July","2022"
"138","July 13, 2022",2022-07-13,"Run",398,3.11,1912,10.25,1.09,5.85,54.8,150,4991,31.87,"Wednesday",13,"July","2022"
"139","July 12, 2022",2022-07-12,"Run",421,3.11,1968,10.55,1.07,5.69,56.08,155,5134,32.8,"Tuesday",12,"July","2022"
"140","July 12, 2022",2022-07-11,"Run",197,2,1409,11.74,1.91,5.11,31.34,145,3302,23.48,"Monday",11,"July","2022"
"141","July 10, 2022",2022-07-10,"Run",429,3.1,2301,12.37,0.99,4.85,60.41,149,5125,38.35,"Sunday",10,"July","2022"
"142","July 9, 2022",2022-07-09,"Run",430,3.1,2005,10.77,1.17,5.57,51.45,157,5261,33.42,"Saturday",9,"July","2022"
"143","July 8, 2022",2022-07-08,"Run",454,3.11,1988,10.65,3.88,5.63,15.47,165,5202,33.13,"Friday",8,"July","2022"
"144","June 24, 2022",2022-06-24,"Run",400,3.1,1554,8.35,0,7.18,0,NA,4192,25.9,"Friday",24,"June","2022"
"145","June 23, 2022",2022-06-23,"Run",410,3.1,1748,9.4,0,6.38,0,NA,4656,29.13,"Thursday",23,"June","2022"
"146","June 21, 2022",2022-06-22,"Run",403,3.1,1665,8.95,0,6.7,0,NA,4458,27.75,"Wednesday",22,"June","2022"
"147","June 19, 2022",2022-06-19,"Run",378,2.66,1800,11.28,0,5.32,0,NA,4713,30,"Sunday",19,"June","2022"
"148","June 18, 2022",2022-06-18,"Run",370,2.58,1698,10.97,1.11,5.47,53.94,159,4431,28.3,"Saturday",18,"June","2022"
"149","June 16, 2022",2022-06-17,"Run",315,2.33,1391,9.95,0,6.03,0,NA,3684,23.18,"Friday",17,"June","2022"
"150","June 15, 2022",2022-06-15,"Run",405,3.1,1691,9.09,0,6.6,0,NA,4520,28.18,"Wednesday",15,"June","2022"
"151","June 12, 2022",2022-06-12,"Run",428,3.1,1955,10.52,3.01,5.71,19.95,0,5052,32.58,"Sunday",12,"June","2022"
"152","June 10, 2022",2022-06-10,"Run",881,6.2,4182,11.23,0.6,5.34,100.05,153,10479,69.7,"Friday",10,"June","2022"
"153","June 9, 2022",2022-06-08,"Run",407,3.11,1702,9.12,0,6.58,0,153,4548,28.37,"Wednesday",8,"June","2022"
"154","June 6, 2022",2022-06-06,"Run",590,4.5,2924,10.82,1.15,5.54,52.33,145,7739,48.73,"Monday",6,"June","2022"
"155","June 5, 2022",2022-06-05,"Walk",253,1.88,2402,21.28,1.79,2.82,33.49,109,3994,40.03,"Sunday",5,"June","2022"
"156","June 5, 2022",2022-06-05,"Run",302,2.44,1487,10.17,0.45,5.9,132.28,148,3889,24.78,"Sunday",5,"June","2022"
"157","June 4, 2022",2022-06-04,"Run",856,6.24,3946,10.53,1.07,5.7,56.16,156,10427,65.77,"Saturday",4,"June","2022"
"158","June 3, 2022",2022-06-03,"Run",397,3.11,1864,9.99,0.95,6.01,63.08,152,4863,31.07,"Friday",3,"June","2022"
"159","May 31, 2022",2022-06-01,"Run",416,3.1,1817,9.77,0,6.14,0,NA,4822,30.28,"Wednesday",1,"June","2022"
"160","May 31, 2022",2022-05-31,"Run",546,4.08,2377,9.71,1.28,6.18,46.77,145,4048,39.62,"Tuesday",31,"May","2022"
"161","May 30, 2022",2022-05-30,"Run",418,3.1,1873,10.06,0.45,5.96,132.4,159,4873,31.22,"Monday",30,"May","2022"
"162","May 28, 2022",2022-05-28,"Run",426,3.11,1852,9.93,2.82,6.04,21.25,162,4867,30.87,"Saturday",28,"May","2022"
"163","May 27, 2022",2022-05-27,"Run",405,3.1,1691,9.09,0,6.6,0,NA,4520,28.18,"Friday",27,"May","2022"
"164","May 25, 2022",2022-05-25,"Run",801,6.21,3735,10.03,0.99,5.98,60.53,150,9802,62.25,"Wednesday",25,"May","2022"
"165","May 24, 2022",2022-05-24,"Run",408,3.1,1731,9.31,0,6.45,0,NA,4616,28.85,"Tuesday",24,"May","2022"
"166","May 22, 2022",2022-05-22,"Run",420,3.1,1865,10.03,0,5.98,0,NA,4936,31.08,"Sunday",22,"May","2022"
"167","May 20, 2022",2022-05-20,"Run",417,3.1,1827,9.82,0,6.11,0,NA,4845,30.45,"Friday",20,"May","2022"
"168","May 20, 2022",2022-05-20,"Run",394,3.1,1839,9.88,1.32,6.07,45.51,149,4858,30.65,"Friday",20,"May","2022"
"169","May 17, 2022",2022-05-17,"Run",840,6.2,3843,10.32,1.04,5.81,57.83,151,10162,64.05,"Tuesday",17,"May","2022"
"170","May 16, 2022",2022-05-16,"Run",395,3.11,1777,9.53,0.97,6.3,61.95,145,4650,29.62,"Monday",16,"May","2022"
"171","May 14, 2022",2022-05-14,"Run",419,3.1,1851,9.95,0,6.03,0,NA,4903,30.85,"Saturday",14,"May","2022"
"172","May 13, 2022",2022-05-13,"Run",814,6.2,3430,9.22,0,6.51,0,149,9155,57.17,"Friday",13,"May","2022"
"173","May 11, 2022",2022-05-11,"Run",656,5,2989,9.96,1.08,6.03,55.39,146,7917,49.82,"Wednesday",11,"May","2022"
"174","May 9, 2022",2022-05-09,"Run",391,3.11,1802,9.66,0.94,6.21,64.11,140,4782,30.03,"Monday",9,"May","2022"
"175","May 8, 2022",2022-05-08,"Run",313,2.35,1376,9.74,1.03,6.16,58.29,156,3622,22.93,"Sunday",8,"May","2022"
"176","May 7, 2022",2022-05-07,"Run",348,2.59,1516,9.75,0.43,6.16,140.98,154,4043,25.27,"Saturday",7,"May","2022"
"177","May 7, 2022",2022-05-07,"Run",430,3.1,1974,10.61,0,5.65,0,NA,5197,32.9,"Saturday",7,"May","2022"
"178","May 6, 2022",2022-05-06,"Run",796,6.21,3701,9.94,0.43,6.04,139.37,148,9854,61.68,"Friday",6,"May","2022"
"179","May 5, 2022",2022-05-05,"Run",605,4.52,2670,9.85,1.08,6.09,55.81,151,7087,44.5,"Thursday",5,"May","2022"
"180","May 3, 2022",2022-05-03,"Run",403,3.1,1665,8.95,0,6.7,0,NA,4458,27.75,"Tuesday",3,"May","2022"
"181","May 1, 2022",2022-05-01,"Run",402,3.1,1727,9.27,0.45,6.47,132.64,158,4584,28.78,"Sunday",1,"May","2022"
"182","April 30, 2022",2022-04-30,"Run",328,2.43,1356,9.31,0.14,6.45,439.28,163,3579,22.6,"Saturday",30,"April","2022"
"183","April 29, 2022",2022-04-29,"Run",816,6.2,3774,10.14,0.99,5.92,60.38,149,10012,62.9,"Friday",29,"April","2022"
"184","April 28, 2022",2022-04-29,"Run",399,3.1,1539,8.27,0,7.25,0,NA,4157,25.65,"Friday",29,"April","2022"
"185","April 28, 2022",2022-04-28,"Run",398,3.11,1659,8.9,0.86,6.74,69.79,149,4445,27.65,"Thursday",28,"April","2022"
"186","April 27, 2022",2022-04-27,"Run",444,3.51,1880,8.93,1.03,6.72,58.37,152,5066,31.33,"Wednesday",27,"April","2022"
"187","April 25, 2022",2022-04-25,"Run",393,3.11,1659,8.89,0.95,6.75,63.43,150,4440,27.65,"Monday",25,"April","2022"
"188","April 23, 2022",2022-04-23,"Run",404,3.1,1604,8.62,0,6.96,0,NA,4312,26.73,"Saturday",23,"April","2022"
"189","April 23, 2022",2022-04-23,"Run",403,3.1,1659,8.92,0,6.73,0,NA,4444,27.65,"Saturday",23,"April","2022"
"190","April 22, 2022",2022-04-22,"Run",406,3.1,1700,9.14,0,6.56,0,NA,4542,28.33,"Friday",22,"April","2022"
"191","April 21, 2022",2022-04-21,"Run",412,3.1,1747,9.37,8.78,6.4,6.84,159,4639,29.12,"Thursday",21,"April","2022"
