screen_name,text,location,latitude,longitude
DoctorFishbones,Democrats won the popular vote for President in 6 of the last 7 elections and still found a way to lose Roe v Wade… https://t.co/S4eneJJB3X,Boston,42.3602534,-71.0582912
longo_dave,"@JoeBiden Codifying Roe would be unconstitutional.  The red states would sue to enjoin the federal law, and they would win.",The Buckeye State,38.9237892,-120.7979883
b_hors7STEM,@TheDemCoalition @funder I’ve been saying this since the ROE V WADE leak lol the @GOP is purely transactional they… https://t.co/xQ14pVAeTt,"Parkland, FL",26.3100794,-80.23727
1blesedlife,"Would Prop 3 go beyond the rights that had been provided by Roe v. Wade?

According to Litman, Prop 3 would not go… https://t.co/Z3AYcKJ2X0",Michigan,43.6211955,-84.6824346
1blesedlife,Prop 3 and Roe also require states to demonstrate that any potential restrictions are grounded in evidence and scie… https://t.co/EAI1VTY7Fp,Michigan,43.6211955,-84.6824346
DJ_Name,@Paraglobalism Good job not codifying Roe.,"Hollywood, CA",49.2270892,-123.0008188
Pres_DeSantis,Biden Lies About Roe v Wade For Midterm Votes - https://t.co/cbv0p1B3id #Florida #unvaccinated #BreakingNews,NASA,-11.9601522,34.5021549735597
DoctorFishbones,"[Loses Roe v Wade forever]
Democrats 2022: ""We must protect abortion rights! Send us money and votes! Together we can do this!""",Boston,42.3602534,-71.0582912
presstelegram,Vice President Kamala Harris discusses post-Roe abortion rights during LA visit https://t.co/SA8bH5OjLC,"Long Beach, CA",44.4567705,-78.7359702
ladailynews,Vice President Kamala Harris discusses post-Roe abortion rights during LA visit https://t.co/FSrLPAUIPY https://t.co/CCeYyfuHbV,"Los Angeles, California",34.1430079,-118.14176172581
PasStarNews,Vice President Kamala Harris discusses post-Roe abortion rights during LA visit https://t.co/EUDqD4ZkjB,"Pasadena, CA",49.0139234,-57.5986531
DailyBreezeNews,Vice President Kamala Harris discusses post-Roe abortion rights during LA visit https://t.co/B9noShWMzV,"Torrance, CA",44.9955309,-79.5692407
SGVTribune,Vice President Kamala Harris discusses post-Roe abortion rights during LA visit https://t.co/lhVJLRzK6E,"Monrovia, CA",34.1483499,-118.0014517
WhittierNews,Vice President Kamala Harris discusses post-Roe abortion rights during LA visit https://t.co/vOcwgVijqu,"Whittier, CA",33.9748932,-118.0336975
AsilverroseThe,THIS 👇🏻👇🏻👇🏻#RoevemberIsComing #Roevember8th #RoeRoeRoeYourVote #VoteforDemocracy,Chicago area,10.4790701,-66.828254
JeremyBRoberts,@thatdebraelaine @SenMikeLee You’re wrong here. And you’re wrong regardless if someone is supporting or opposing Roe v Wade.,"Hawaii, USA",21.2160437,-157.975203
cirrus97,"@JoeBiden You have the numbers to codify roe v wade now, but you're using as a political move to sway voters, so it… https://t.co/zkm0KwQKsk",So Cal,-33.8309062,151.2213858
SRPPaloAlto,The end of Roe v. Wade – a woman’s constitutional right to an #abortion – has led some digital #privacy experts to… https://t.co/M6lhRbq39G,"Palo Alto, CA",37.4455862,-122.1619289
DoctorFishbones,"@B52Malmet Uhm, we lost Roe v Wade in 2022 so abortion is done and our democracy was stolen in 2000 by George W Bush, who Democrats like now",Boston,42.3602534,-71.0582912
LoisMoncrief,"Roe, Roe, Roe Your Vote in November https://t.co/GHp8OrjIOB",United States,39.7837304,-100.4458825
InternationalN0,Vice President Kamala Harris discusses post-Roe abortion rights during LA visit https://t.co/Fi5zw7nPUq,United States,39.7837304,-100.4458825
AliJan10B,Vice President Kamala Harris discusses post-Roe abortion rights during LA visit https://t.co/34krzmtSXR,United Kingdom,25.2232283,55.1594933008754
eggslut123,@lapetitemorticn He broke up w me on the day of the roe v wade reversal and like a week later i found out he was ta… https://t.co/FfkDig5Cmy,she/her,35.1172406,-89.9132695
moongoddesscb,"@ChuckGrassley Chuck grassley, deflecting from Herschel Walker lies?  Deflecting from overturning Roe vs Wade? Defl… https://t.co/Net4oRvz8f","California, USA",36.7014631,-118.7559974
StockPassionate,"How to identify bad Stocks in #StockMarket #Nifty #investing
1. High debt 
2. Less promoters holding 
3. Low ROE
4.… https://t.co/Yt9iDtbqmr",India,22.3511148,78.6677428
drdoodlie1994,"I am 76 and way past childbearing age. However, the Dobbs decision overturning Roe infuriates me. I will vote Democ… https://t.co/mIBBTrmnIF","Bethlehem, PA",-1.45056,-48.4682453
MyGrandpasays3,ROEVEMBER TRUMP MAGA MAGA2020 MAGA2024 GOP NRA FoxNews @GOP @NRA @GOPLeader @GOPChairwoman @LeaderMcConnell… https://t.co/2w8a9vnPwg,Northern California,32.7349196,-117.1545974
TomthunkitsMind,"If we lose Congress, Biden becomes a lame duck &amp; will be impeached immediately. Overturning Roe is just the beginni… https://t.co/nrxzdRRLEO",In Your Mind Now,,
frozenrope9190,@rocketcityhog @Atticus59914029 I still think voters are beyond pissed about Roe and are gonna come out in droves.,Chicago'ish,,
Brian_E_Adams,"@Linflas @SonofHas Is this another ""the GOP never fights"" after the GOP successfully undid Roe v Wade? 

Y'all stil… https://t.co/ruxf5aP2Mg",Texas,31.8160381,-99.5120986
sevenbowie,"Unfortunately like Roe, Social Security has a very real possibility of being taken destroyed - Democratic Undergrou… https://t.co/RxNDdEonnJ",NoneOfYourDamnBusiness,,
TeresaMichels,Republicans want to pass a national ban on abortion. Democrats want to codify Roe. Vote accordingly.… https://t.co/WpB4O7QNLZ,"Arizona, USA",34.395342,-111.7632755
ThomasDillhunt,"Mad about Roe v Wade being overturned? I am.

Let's text unregistered likely Democrats in Wisconsin who support abo… https://t.co/w7HnZCle74","Minnesota, USA",45.9896587,-94.6113288
nicolefallonNY,@marcmolinaro @JoshuaUE99 Ok and several of the Supreme Court justices said Roe v Wade was codified/law at their he… https://t.co/EFpsxuAPlE,"Hudson Valley, NY ",42.2528649,-73.790959
ZipBamBoomVoila,@FredGiuffrida F*ck no. I am angry about ROE,United States,39.7837304,-100.4458825
ThomasDillhunt,"A strong majority of Americans supported Roe v. Wade!

Now we need to elect 2 more Democrat Senators to make… https://t.co/F3xsMRSEgi","Minnesota, USA",45.9896587,-94.6113288
Real_Ill91,McMullin voted to overturn Roe v Wade in 2016 &amp; now still cant find a proper stance; its unfortunate he's STILL the… https://t.co/rNtFbt3i0z,US,39.7837304,-100.4458825
ThomasDillhunt,"Trump Republicans didn't get the SCOTUS decision by sitting out the vote. They worked decades to overturn Roe. 

Le… https://t.co/jxNo0JkStJ","Minnesota, USA",45.9896587,-94.6113288
ThomasDillhunt,"Roe Roe Roe Your Vote
Gently save democracy
Merrily merrily merrily merrily
Winning the midterms is not a dream!

L… https://t.co/7JcH1Tu8gP","Minnesota, USA",45.9896587,-94.6113288
HidehiroAnto,"@OpenUpTheDough @libtearsRsalty @JoeBiden codifying Roe means passing a law that legalizes abortion nationwide, not… https://t.co/1vpwzXo8op","Trisolaris, Proxima Centauri",,
ThomasDillhunt,"A strong majority of Americans support Roe v. Wade. 

Now we need to elect 2 more Democrat Senators to make… https://t.co/cYDpSx3yAS","Minnesota, USA",45.9896587,-94.6113288
ThomasDillhunt,"Love democracy just as much as a delicious rosé? It's your chance to shine!

@briantylercohen is selling Codify Roe… https://t.co/tWlKjnKgLF","Minnesota, USA",45.9896587,-94.6113288
spincity615,@mary_pezzulo What Jessica Keating and others ignore when they talk about life after Roe,"Nashville, TN",36.1622296,-86.7743531
MenaceSocietyUT,@missplott @RobertGehrke I’ve been disappointed with Evan’s response on Roe v Wade for 6 years. https://t.co/80nTiIixgv,"SL,UT",40.7692822,-111.925461387854
joefischCA,Re @nytimes poll: Does it make sense that women who were registering to vote in August/September because of Roe v.… https://t.co/dPOvvNUIo9,Los Angeles,34.054935,-118.244476
AnnieLooney48,"@FredGiuffrida I’m IRATE ABOUT ROE, voting rights, our democracy, gun violence, trump’s lying and inciting violence… https://t.co/sDDFzgIVB0",Massachusetts ,42.3788774,-72.032366
TheJackalope,"Remember that this is what it will be like if we don't codify Roe v Wade. This isn't a horror movie, this is a reas… https://t.co/Hu3mPjJHMt","Cascadia, United States",44.3973477,-122.481748
Patterson4TX,@JakeMambo @LeoWhelan4 @DonHuffines @GregAbbott_TX Ok. What does changing ROE mean. Change what.,"Austin, Texas",30.2711286,-97.7436995
DrSJDuckworth,Just got a text saying one saw me on a Hulu ad supporting Roe…🤞🏽🖤 always and forever #prochoice,"Reno, NV",39.52927,-119.8136744
Cookies_Cowpies,@RazMATTaz Democrats pissed away 50 years on Roe because it was used as a political tool to garner votes. Are Democ… https://t.co/eoO7csaeph,"Great Falls, Montana",47.5048851,-111.2918908
captainK42069,"To all the dumbass ""conservatives"" who thought overturning roe was a good idea.  Get this.  Oklahoma, a state trump… https://t.co/42itHgTHaB",inside your walls ,,
bradnelson76,I have never been more afraid for this country than I am right now. The anger we saw after Roe was overturned has s… https://t.co/rCIt1n6crJ,"Minneapolis, MN",44.9772995,-93.2654692
vanni9283,@GarenMeguerian ? Garen....Do you happen to know if there are any more Roe Roe Roe your vote signs over at Colonial… https://t.co/bRT8aUsre5,"Wayne, PA",41.6264414,-75.3045103
mattallenphoto,"I don’t understand how we got here, but we can make sure we don’t get there👇 Roe, Roe, Roe Your Vote!","Boston, MA",42.3602534,-71.0582912
JennJonesMD,@BeachesPlease20 @SRuhle Umm…he is serving a life sentence for the things he did…using laws in place while Roe v. W… https://t.co/19GRrcuF6l,"New Hampshire, USA",43.4849133,-71.6553992
ScottyWynn4,"@CortezMasto @AdamLaxalt @LindseyGrahamSC It is a joke and ROE Lied!
Enough of your Baby Murdering Agenda, Vile Subhuman",Las Vegas ,36.1662859,-115.149225
Pro2ASteve,@Mayflower_Sarah @lavern_spicer Do you know how many black babies have been aborted since roe?,"Arizona, USA",34.395342,-111.7632755
YouRAMoron3,@GOPChairwoman You are dreaming. Real women won’t stand for the disgrace of Roe v. Wade and the Supreme Court. You… https://t.co/yRTEFoyY87,Taking dump on Q’s head ,,
CallMeSignaUra,"@FredGiuffrida I'm still mad as hell about Roe, Uvalde, January 6, Stolen State Secrets, and so much more. https://t.co/7hxWcWFLgw","New Mexico, USA",34.5708167,-105.993007
