screen_name,text,location,latitude,longitude
ozymandias31803,"@mike79421052 @RobHNY @Nate_Cohn @Redistrict Someone’s mad that Roe was overturned 🤣🤣🤣

Guess what! More babies are… https://t.co/xFUsc9nB9b","Champaign, IL",40.1164205,-88.2433829
NotYourAbortee,.@colinschmitt opposed  codifying Roe V. Wade in the #NYS Assembly. He voted AGAINST S240 aka The Reproductive Heal… https://t.co/qxbwCvalMd,Hudson valley NY,42.2528649,-73.790959
BrownHist,"Wednesday, 10/19 at 6:30PM: Reproductive Justice in a Post-Roe Nation —  A Virtual Conversation hosted by… https://t.co/uTFZ2d7umP","Providence, RI",41.8239891,-71.4128343
BrownAnthro,"Wednesday, 10/19 at 6:30PM: Reproductive Justice in a Post-Roe Nation —  A Virtual Conversation hosted by… https://t.co/6qk5a28SvU","Providence, RI",41.8239891,-71.4128343
Mavricks_pops,"@MaryPeltola If you’re talking about Roe vs Wade, then you’re being dishonest or you’re totally uninformed. Both ar… https://t.co/U3CY6WOmH7","Alton, MO",36.6942252,-91.3993039
phds2,@RepJeffries Vote for Democracy! Vote for ROE!  Vote for the future of our planet! Vote for Social Security and Med… https://t.co/iEE9eliC6J,"Berkeley, CA",44.3669375,-80.7272504
TruckFriends,"@BourbonPlanner @DFRSH757 @ChugzytTears Funny how I ask a simple question like what is the ROE on the construction,… https://t.co/FCNzWZCEvh","Virginia, USA",37.1232245,-78.4927721
latimes,Democrats used to avoid talking about abortion with Latino voters. Then Roe was overturned https://t.co/hR4VOWMnlw,"El Segundo, CA",33.912594,-118.383179
john_holiness,Have you forgotten overturn of Roe v Wade ladies? The GOP is counting on it. What do you say?… https://t.co/R53tuZkeKA,"Dawsonville, GA",34.4212053,-84.1190804
rex_irby,"@NickMastro13 @AdamForColorado Like it Nick - is #Roevember a potential big number in that turnout?

About 12,800 R… https://t.co/EfAja0tAuj","Elmhurst, IL",41.8994745,-87.9403418
njwebdevexperts,"@Gretchen_Foobar Actually, it was under DEMOCRATS that Roe v Wade changed, and it has been shown that Democrats did… https://t.co/azCAhHK1xG","NJ, USA",40.0757384,-74.4041622
vickihurd6,@dellavolpe @davidhogg111 @CBSNewsPoll Yeah but Roe was not an issue. Their rights were not being threatened. They are going to vote in 22,USA,39.7837304,-100.4458825
mnmanofhour,@Fflewddur_Fflam @myself4_a People like you are the reason Roe will never get codified by the Dems. They know that… https://t.co/jRPch7pjsg,"Minnesota, USA",45.9896587,-94.6113288
SWIdahoNOW,"Post-Roe, non-pregnant people are being denied medications over ‘hypothetical’ babies - USA TODAY https://t.co/ZQ4GoogL1f","Idaho, USA",43.6447642,-114.0154071
BigDuckAgain,"How some providers are working around abortion bans since Roe v. Wade was overturned

https://t.co/2zIAUvb62z","California, USA",36.7014631,-118.7559974
Bridget22220182,@fred_guttenberg Roe was about so much more than just abortion.,"Oklahoma City, OK",35.4729886,-97.5170536
