Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Dad,www,playback,/watch/80177342?trackId=14170286&tctx=2%2C0%2C605058d4-9486-4a9a-aeae-c1739960fad4-142603482%2C1ed660c3-4e20-45c0-ad1a-4dbe46479288_81803476X3XX1648395517275%2C1ed660c3-4e20-45c0-ad1a-4dbe46479288_ROOT%2C%2C%2C,/watch/80226542?trackId=14170286,2022-03-27 15:38:50
Dad,www,browseTitles,/watch/80185760?trackId=254015180&tctx=0%2C0%2C607bc9f6-06a9-4e30-82a9-d08c762bcd6a-105248262%2C09f1a439-93b9-449f-836a-f621627536bf_77581058X20XX1648339806833%2C09f1a439-93b9-449f-836a-f621627536bf_ROOT%2C%2C%2C,/browse,2022-03-27 15:38:36
Dad,www,postPlay,/browse,/watch/80185760?trackId=254015180&tctx=0%2C0%2C607bc9f6-06a9-4e30-82a9-d08c762bcd6a-105248262%2C09f1a439-93b9-449f-836a-f621627536bf_77581058X20XX1648339806833%2C09f1a439-93b9-449f-836a-f621627536bf_ROOT%2C%2C%2C,2022-03-27 15:38:36
Dad,www,browseTitles,/title/80236236,/browse,2022-03-27 00:10:12
Dad,www,playback,/browse,/watch/80185760?trackId=254015180&tctx=0%2C0%2C607bc9f6-06a9-4e30-82a9-d08c762bcd6a-105248262%2C09f1a439-93b9-449f-836a-f621627536bf_77581058X20XX1648339806833%2C09f1a439-93b9-449f-836a-f621627536bf_ROOT%2C%2C%2C,2022-03-27 00:10:12
Dad,www,movieDetails,,/title/80236236,2022-03-27 00:10:08
Dad,www,browseTitles,/title/80236236,/browse,2022-03-27 00:10:08
Dad,www,profilesGate,,/title/80236236,2022-03-27 00:10:06
Dad,www,browseTitles,,/title/80236236,2022-03-27 00:10:06
Dad,www,playback,/watch/81002049?trackId=155573559,/watch/81002050?trackId=155573559,2022-03-26 01:23:45
Dad,www,playback,/watch/81002050?trackId=155573559,/watch/81002051?trackId=155573559,2022-03-26 01:23:45
Dad,www,playback,/watch/81002048?trackId=155573559,/watch/81002049?trackId=155573559,2022-03-25 04:15:43
Dad,www,playback,/watch/81002049?trackId=155573559,/watch/81002050?trackId=155573559,2022-03-25 04:15:43
Dad,www,playback,/watch/81002047?trackId=14170286,/watch/81002048?trackId=155573559,2022-03-25 03:34:17
Dad,www,playback,/watch/81002048?trackId=155573559,/watch/81002049?trackId=155573559,2022-03-25 03:34:17
Dad,www,playback,/watch/80225184?trackId=14170286&tctx=1%2C0%2Ced36c50c-ea58-4ae1-a547-10a7451d8bf0-5496462%2C67d3da9a-e552-4de8-80aa-5481ae7205cd_4920316X3XX1648173458704%2C67d3da9a-e552-4de8-80aa-5481ae7205cd_ROOT%2C%2C%2C,/watch/81002047?trackId=14170286,2022-03-25 02:53:52
Dad,www,playback,/watch/81002047?trackId=14170286,/watch/81002048?trackId=155573559,2022-03-25 02:53:52
Dad,www,playback,/browse,/watch/80225184?trackId=14170286&tctx=1%2C0%2Ced36c50c-ea58-4ae1-a547-10a7451d8bf0-5496462%2C67d3da9a-e552-4de8-80aa-5481ae7205cd_4920316X3XX1648173458704%2C67d3da9a-e552-4de8-80aa-5481ae7205cd_ROOT%2C%2C%2C,2022-03-25 02:12:37
Dad,www,playback,/watch/80225184?trackId=14170286&tctx=1%2C0%2Ced36c50c-ea58-4ae1-a547-10a7451d8bf0-5496462%2C67d3da9a-e552-4de8-80aa-5481ae7205cd_4920316X3XX1648173458704%2C67d3da9a-e552-4de8-80aa-5481ae7205cd_ROOT%2C%2C%2C,/watch/81002047?trackId=14170286,2022-03-25 02:12:37
Dad,www,browseTitles,/title/80236236,/browse,2022-03-25 02:06:23
Dad,www,playback,/browse,/watch/80225184?trackId=14170286&tctx=1%2C0%2Ced36c50c-ea58-4ae1-a547-10a7451d8bf0-5496462%2C67d3da9a-e552-4de8-80aa-5481ae7205cd_4920316X3XX1648173458704%2C67d3da9a-e552-4de8-80aa-5481ae7205cd_ROOT%2C%2C%2C,2022-03-25 02:06:23
Dad,www,browseTitles,/title/80236236,/browse,2022-03-25 01:57:40
Dad,www,movieDetails,,/title/80236236,2022-03-25 01:57:40
Dad,www,profilesGate,,/title/80236236,2022-03-25 01:57:38
Dad,www,browseTitles,,/title/80236236,2022-03-25 01:57:38
Dad,tvui,profilesGate,,,2022-03-24 03:38:39
Dad,www,movieDetails,/browse,/browse?jbv=80177342,2022-03-23 02:34:09
Dad,www,playback,/browse?jbv=80177342,/watch/80191869?trackId=14170289&tctx=1%2C0%2C8b818c3f-3d76-4097-86f9-9480a4d4ff85-10953033%2C1276c8d2-281a-43fa-9bb6-1713e201a853_50496618X3XX1648002768591%2C1276c8d2-281a-43fa-9bb6-1713e201a853_ROOT%2C%2C%2C,2022-03-23 02:34:09
Dad,www,browseTitles,/title/80236236,/browse,2022-03-23 02:33:51
Dad,www,browseTitles,/browse,/browse?jbv=80177342,2022-03-23 02:33:51
Dad,www,movieDetails,,/title/80236236,2022-03-23 02:32:58
Dad,www,browseTitles,/title/80236236,/browse,2022-03-23 02:32:58
Dad,www,profilesGate,,/title/80236236,2022-03-23 02:32:47
Dad,www,browseTitles,,/title/80236236,2022-03-23 02:32:47
Dad,www,playback,/watch/80191867?trackId=155573559,/watch/80191868?trackId=155573559,2022-03-22 04:24:03
Dad,www,playback,/watch/80191868?trackId=155573559,/watch/80191869?trackId=155573559,2022-03-22 04:24:03
Dad,www,playback,/watch/80191866?trackId=14170289,/watch/80191867?trackId=155573559,2022-03-22 03:43:46
Dad,www,playback,/watch/80191867?trackId=155573559,/watch/80191868?trackId=155573559,2022-03-22 03:43:46
Dad,www,playback,/watch/80191865?trackId=14170289&tctx=2%2C0%2C73291930-89de-4d87-8763-5f64f68afdad-165227599%2Ca4c9edc2-809a-4778-adae-9ffe58169a29_6962962X3XX1647913256231%2Ca4c9edc2-809a-4778-adae-9ffe58169a29_ROOT%2C%2C%2C,/watch/80191866?trackId=14170289,2022-03-22 03:02:07
Dad,www,playback,/watch/80191866?trackId=14170289,/watch/80191867?trackId=155573559,2022-03-22 03:02:07
Dad,www,playback,/browse?jbv=80177342,/watch/80191865?trackId=14170289&tctx=2%2C0%2C73291930-89de-4d87-8763-5f64f68afdad-165227599%2Ca4c9edc2-809a-4778-adae-9ffe58169a29_6962962X3XX1647913256231%2Ca4c9edc2-809a-4778-adae-9ffe58169a29_ROOT%2C%2C%2C,2022-03-22 02:21:12
Dad,www,playback,/watch/80191865?trackId=14170289&tctx=2%2C0%2C73291930-89de-4d87-8763-5f64f68afdad-165227599%2Ca4c9edc2-809a-4778-adae-9ffe58169a29_6962962X3XX1647913256231%2Ca4c9edc2-809a-4778-adae-9ffe58169a29_ROOT%2C%2C%2C,/watch/80191866?trackId=14170289,2022-03-22 02:21:12
Dad,www,movieDetails,/browse,/browse?jbv=80177342,2022-03-22 01:41:37
Dad,www,playback,/browse?jbv=80177342,/watch/80191865?trackId=14170289&tctx=2%2C0%2C73291930-89de-4d87-8763-5f64f68afdad-165227599%2Ca4c9edc2-809a-4778-adae-9ffe58169a29_6962962X3XX1647913256231%2Ca4c9edc2-809a-4778-adae-9ffe58169a29_ROOT%2C%2C%2C,2022-03-22 01:41:37
Dad,www,browseTitles,/watch/80191866?trackId=14170286&tctx=2%2C0%2C73291930-89de-4d87-8763-5f64f68afdad-165227599%2Ca4c9edc2-809a-4778-adae-9ffe58169a29_6962962X3XX1647913256231%2Ca4c9edc2-809a-4778-adae-9ffe58169a29_ROOT%2C%2C%2C,/browse,2022-03-22 01:41:31
Dad,www,browseTitles,/browse,/browse?jbv=80177342,2022-03-22 01:41:31
Dad,www,playback,/browse,/watch/80191866?trackId=14170286&tctx=2%2C0%2C73291930-89de-4d87-8763-5f64f68afdad-165227599%2Ca4c9edc2-809a-4778-adae-9ffe58169a29_6962962X3XX1647913256231%2Ca4c9edc2-809a-4778-adae-9ffe58169a29_ROOT%2C%2C%2C,2022-03-22 01:41:20
Dad,www,browseTitles,/watch/80191866?trackId=14170286&tctx=2%2C0%2C73291930-89de-4d87-8763-5f64f68afdad-165227599%2Ca4c9edc2-809a-4778-adae-9ffe58169a29_6962962X3XX1647913256231%2Ca4c9edc2-809a-4778-adae-9ffe58169a29_ROOT%2C%2C%2C,/browse,2022-03-22 01:41:20
Dad,www,browseTitles,/title/80236236,/browse,2022-03-22 01:41:03
Dad,www,playback,/browse,/watch/80191866?trackId=14170286&tctx=2%2C0%2C73291930-89de-4d87-8763-5f64f68afdad-165227599%2Ca4c9edc2-809a-4778-adae-9ffe58169a29_6962962X3XX1647913256231%2Ca4c9edc2-809a-4778-adae-9ffe58169a29_ROOT%2C%2C%2C,2022-03-22 01:41:03
Dad,www,browseTitles,/title/80236236,/browse,2022-03-22 01:40:58
Dad,www,movieDetails,,/title/80236236,2022-03-22 01:40:58
Dad,www,profilesGate,,/title/80236236,2022-03-22 01:40:55
Dad,www,browseTitles,,/title/80236236,2022-03-22 01:40:55
Dad,tvui,postPlay,,,2022-03-20 07:28:21
Dad,tvui,movieDetails,,,2022-03-20 07:28:21
Dad,tvui,playback,,,2022-03-20 07:27:57
Dad,tvui,postPlay,,,2022-03-20 07:27:57
Dad,tvui,movieDetails,,,2022-03-20 05:16:41
Dad,tvui,playback,,,2022-03-20 05:16:41
Dad,tvui,movieDetails,,,2022-03-20 05:16:40
Dad,tvui,browseTitles,,,2022-03-20 05:16:40
Dad,tvui,movieDetails,,,2022-03-20 05:16:12
Dad,tvui,browseTitles,,,2022-03-20 05:16:12
Dad,tvui,postPlay,,,2022-03-20 05:16:07
Dad,tvui,movieDetails,,,2022-03-20 05:16:07
Dad,tvui,playback,,,2022-03-20 05:15:59
Dad,tvui,postPlay,,,2022-03-20 05:15:59
Dad,tvui,movieDetails,,,2022-03-20 03:29:51
Dad,tvui,playback,,,2022-03-20 03:29:51
Dad,tvui,movieDetails,,,2022-03-20 03:29:46
Dad,tvui,browseTitles,,,2022-03-20 03:29:46
Dad,tvui,movieDetails,,,2022-03-20 03:29:42
Dad,tvui,browseTitles,,,2022-03-20 03:29:42
Dad,tvui,browseTitles,,,2022-03-20 03:28:42
Dad,tvui,movieDetails,,,2022-03-20 03:28:42
Dad,tvui,profilesGate,,,2022-03-20 03:28:27
Dad,tvui,browseTitles,,,2022-03-20 03:28:27
Dad,tvui,profilesGate,,,2022-03-20 03:27:32
Dad,tvui,movieDetails,,,2022-03-18 07:29:59
Dad,tvui,profilesGate,,,2022-03-18 07:29:59
Dad,tvui,screenSaver,,,2022-03-18 06:45:00
Dad,tvui,movieDetails,,,2022-03-18 06:45:00
Dad,tvui,screenSaver,,,2022-03-18 06:44:58
Dad,tvui,movieDetails,,,2022-03-18 06:44:58
Dad,tvui,movieDetails,,,2022-03-18 06:44:58
Dad,tvui,screenSaver,,,2022-03-18 06:44:58
Dad,tvui,movieDetails,,,2022-03-18 06:39:56
Dad,tvui,screenSaver,,,2022-03-18 06:39:56
Dad,tvui,playback,,,2022-03-18 06:35:01
Dad,tvui,movieDetails,,,2022-03-18 06:35:01
Dad,tvui,postPlay,,,2022-03-18 06:34:25
Dad,tvui,playback,,,2022-03-18 06:34:25
Dad,tvui,playback,,,2022-03-18 06:34:19
Dad,tvui,postPlay,,,2022-03-18 06:34:19
Dad,tvui,episodesSelector,,,2022-03-18 06:10:31
Dad,tvui,playback,,,2022-03-18 06:10:31
Dad,tvui,movieDetails,,,2022-03-18 06:10:15
Dad,tvui,episodesSelector,,,2022-03-18 06:10:15
Dad,tvui,browseTitles,,,2022-03-18 06:10:10
Dad,tvui,movieDetails,,,2022-03-18 06:10:10
Dad,tvui,browseTitles,,,2022-03-18 06:09:48
Dad,tvui,movieDetails,,,2022-03-18 06:09:48
Dad,tvui,playback,,,2022-03-18 06:09:45
Dad,tvui,movieDetails,,,2022-03-18 06:09:45
Dad,tvui,playback,,,2022-03-18 06:07:26
Dad,tvui,movieDetails,,,2022-03-18 06:07:26
Dad,tvui,browseTitles,,,2022-03-18 06:07:24
Dad,tvui,movieDetails,,,2022-03-18 06:07:24
Dad,tvui,browseTitles,,,2022-03-18 06:03:04
Dad,tvui,profilesGate,,,2022-03-18 06:03:04
Dad,tvui,profilesGate,,,2022-03-17 04:38:48
Dad,tvui,browseTitles,,,2022-03-17 04:38:48
Dad,tvui,screenSaver,,,2022-03-17 03:03:48
Dad,tvui,browseTitles,,,2022-03-17 03:03:48
Dad,tvui,browseTitles,,,2022-03-17 02:50:30
Dad,tvui,screenSaver,,,2022-03-17 02:50:30
Dad,tvui,browseTitles,,,2022-03-17 02:45:30
Dad,tvui,profilesGate,,,2022-03-17 02:45:30
Dad,iOS,profilesGate,,,2022-03-08 04:57:46
Dad,iOS,login,,,2022-03-08 04:57:46
Dad,tvui,profilesGate,,,2022-03-07 02:00:39
Dad,tvui,profilesGate,,,2022-03-06 22:03:12
Dad,tvui,postPlay,,,2022-03-06 06:04:02
Dad,tvui,movieDetails,,,2022-03-06 06:04:02
Dad,tvui,playback,,,2022-03-06 06:03:47
Dad,tvui,postPlay,,,2022-03-06 06:03:47
Dad,tvui,movieDetails,,,2022-03-06 04:09:51
Dad,tvui,playback,,,2022-03-06 04:09:51
Dad,tvui,searchSuggestionTitleResults,,,2022-03-06 04:09:46
Dad,tvui,movieDetails,,,2022-03-06 04:09:46
Dad,tvui,browseTitles,,,2022-03-06 04:08:18
Dad,tvui,search,,,2022-03-06 04:08:18
Dad,tvui,browseTitles,,,2022-03-06 04:08:13
Dad,tvui,profilesGate,,,2022-03-06 04:08:13
Dad,www,browseTitles,/title/80236236,/browse,2022-03-02 02:27:54
Dad,www,playback,/browse,/watch/81123055?trackId=14170286&tctx=1%2C0%2Cd0ea2f17-ac90-4c5b-9cc1-e3a8064ca95e-8860442%2Ce11a4c66-1a38-4609-893c-38b2bda941b4_163904276X3XX1646188006622%2Ce11a4c66-1a38-4609-893c-38b2bda941b4_ROOT%2C%2C%2C,2022-03-02 02:27:54
Dad,www,playback,/browse,/watch/81123055?trackId=14170286&tctx=1%2C0%2Cd0ea2f17-ac90-4c5b-9cc1-e3a8064ca95e-8860442%2Ce11a4c66-1a38-4609-893c-38b2bda941b4_163904276X3XX1646188006622%2Ce11a4c66-1a38-4609-893c-38b2bda941b4_ROOT%2C%2C%2C,2022-03-02 02:27:54
Dad,www,playback,/watch/81123055?trackId=14170286&tctx=1%2C0%2Cd0ea2f17-ac90-4c5b-9cc1-e3a8064ca95e-8860442%2Ce11a4c66-1a38-4609-893c-38b2bda941b4_163904276X3XX1646188006622%2Ce11a4c66-1a38-4609-893c-38b2bda941b4_ROOT%2C%2C%2C,/watch/81209779?trackId=14170286,2022-03-02 02:27:54
Dad,www,movieDetails,,/title/80236236,2022-03-02 02:27:38
Dad,www,browseTitles,/title/80236236,/browse,2022-03-02 02:27:38
Dad,www,profilesGate,,/title/80236236,2022-03-02 02:26:45
Dad,www,browseTitles,,/title/80236236,2022-03-02 02:26:45
Dad,www,playback,/watch/81209778?trackId=155573559,/watch/81209779?trackId=155573559,2022-03-01 04:22:25
Dad,www,browseTitles,/watch/81209779?trackId=155573559,/browse,2022-03-01 04:22:25
Dad,www,playback,/watch/81209777?trackId=155573559,/watch/81209778?trackId=155573559,2022-03-01 03:51:22
Dad,www,playback,/watch/81209778?trackId=155573559,/watch/81209779?trackId=155573559,2022-03-01 03:51:22
Dad,www,playback,/watch/81209776?trackId=155573559,/watch/81209777?trackId=155573559,2022-03-01 03:01:09
Dad,www,playback,/watch/81209777?trackId=155573559,/watch/81209778?trackId=155573559,2022-03-01 03:01:09
Dad,www,playback,/watch/81209718?trackId=14170286,/watch/81209776?trackId=155573559,2022-02-28 13:40:24
Dad,www,playback,/watch/81209776?trackId=155573559,/watch/81209777?trackId=155573559,2022-02-28 13:40:24
Dad,www,playback,/watch/81209717?trackId=14170286,/watch/81209718?trackId=14170286,2022-02-28 05:32:15
Dad,www,playback,/watch/81209718?trackId=14170286,/watch/81209776?trackId=155573559,2022-02-28 05:32:15
Dad,www,playback,/watch/81123055?trackId=14170286&tctx=2%2C0%2C6c9942bf-6260-408e-9529-37683e392093-125267571%2C982b7fb4-b593-4895-b423-38725cf1c2fd_140277705X3XX1646022716035%2C982b7fb4-b593-4895-b423-38725cf1c2fd_ROOT%2C%2C%2C,/watch/81209717?trackId=14170286,2022-02-28 04:44:09
Dad,www,playback,/watch/81209717?trackId=14170286,/watch/81209718?trackId=14170286,2022-02-28 04:44:09
Dad,www,browseTitles,/title/80236236,/browse,2022-02-28 04:32:21
Dad,www,playback,/browse,/watch/81123055?trackId=14170286&tctx=2%2C0%2C6c9942bf-6260-408e-9529-37683e392093-125267571%2C982b7fb4-b593-4895-b423-38725cf1c2fd_140277705X3XX1646022716035%2C982b7fb4-b593-4895-b423-38725cf1c2fd_ROOT%2C%2C%2C,2022-02-28 04:32:21
