Start Time (UTC),Positivity,Energy,Duration (ms),Sequence,Positivity/Energy Bin,Descriptors
2021-09-24T02:10:45.0Z,64,49,3760.0,0.0,Neutral,"[satisfied, appreciative, content]"
2021-09-24T02:10:00.0Z,40,48,2920.0,0.0,Neutral,"[dismissive, stubborn, annoyed]"
2021-09-24T02:10:07.0Z,49,45,2690.0,0.0,Neutral,"[focused, calm, interested]"
2021-09-24T02:00:10.0Z,54,48,1830.0,0.0,Neutral,"[interested, curious, skeptical]"
2021-09-24T02:00:12.0Z,49,35,1810.0,0.0,Neutral,"[calm, restrained, disinterested]"
2021-09-24T02:00:14.0Z,51,45,3890.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-24T02:00:30.0Z,51,49,1850.0,0.0,Neutral,"[interested, focused, knowledgeable]"
2021-09-24T02:00:44.0Z,49,47,1560.0,0.0,Neutral,"[overbearing, confident, focused]"
2021-09-24T02:00:48.0Z,37,48,2720.0,0.0,Neutral,"[uncomfortable, discouraged, unconfident]"
2021-09-24T02:00:51.0Z,71,48,6370.0,0.0,Calm,"[amused, friendly, happy]"
2021-09-24T01:59:45.0Z,52,47,1170.0,0.0,Neutral,"[interested, curious, skeptical]"
2021-09-24T01:59:49.0Z,51,48,2700.0,0.0,Neutral,"[focused, interested, confident]"
2021-09-24T01:59:53.0Z,54,47,2060.0,0.0,Neutral,"[interested, focused, curious]"
2021-09-24T01:59:59.0Z,47,47,2600.0,0.0,Neutral,"[skeptical, hesitant, unconfident]"
2021-09-24T01:50:52.0Z,46,46,2010.0,0.0,Neutral,"[hesitant, unconfident, uncomfortable]"
2021-09-24T01:51:09.0Z,54,48,1950.0,0.0,Neutral,"[polite, caring, hopeful]"
2021-09-24T01:49:49.0Z,68,49,6830.0,0.0,Calm,"[amused, friendly, happy]"
2021-09-24T01:50:35.0Z,51,41,2540.0,0.0,Neutral,"[focused, calm, relaxed]"
2021-09-24T01:40:33.0Z,50,46,3920.0,0.0,Neutral,"[focused, knowledgeable, interested]"
2021-09-24T01:40:37.0Z,48,47,2910.0,0.0,Neutral,"[hesitant, unconfident, skeptical]"
2021-09-24T01:40:41.0Z,44,46,2500.0,0.0,Neutral,"[dismissive, stern, disinterested]"
2021-09-24T01:40:51.0Z,53,45,2160.0,0.0,Neutral,"[curious, skeptical, interested]"
2021-09-24T01:41:10.0Z,48,47,4380.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-24T01:40:05.0Z,58,48,3620.0,0.0,Neutral,"[surprised, interested, relieved]"
2021-09-24T01:40:09.0Z,51,48,4260.0,0.0,Neutral,"[focused, knowledgeable, interested]"
2021-09-24T01:40:17.0Z,51,47,3360.0,0.0,Neutral,"[focused, knowledgeable, confident]"
2021-09-24T01:30:27.0Z,49,49,1760.0,0.0,Neutral,"[focused, confident, interested]"
2021-09-24T01:30:35.0Z,54,47,5550.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-24T01:30:43.0Z,52,46,4690.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-24T01:30:48.0Z,50,45,1830.0,0.0,Neutral,"[interested, curious, skeptical]"
2021-09-24T01:31:00.0Z,52,42,1380.0,0.0,Neutral,"[focused, calm, interested]"
2021-09-24T01:29:54.0Z,52,49,2300.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-24T01:29:58.0Z,51,47,2200.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-24T01:30:00.0Z,52,49,7490.0,0.0,Neutral,"[hesitant, unconfident, skeptical]"
2021-09-24T01:30:12.0Z,51,49,1210.0,0.0,Neutral,"[interested, curious, skeptical]"
2021-09-24T01:30:13.0Z,51,49,3370.0,0.0,Neutral,"[skeptical, curious, interested]"
2021-09-24T01:20:04.0Z,50,47,1230.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-24T01:20:13.0Z,52,46,1640.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-24T01:20:21.0Z,51,48,1760.0,0.0,Neutral,"[interested, curious, skeptical]"
2021-09-24T01:20:32.0Z,52,49,2170.0,0.0,Neutral,"[focused, knowledgeable, interested]"
2021-09-24T01:20:35.0Z,49,50,1690.0,0.0,Neutral,"[focused, interested, confident]"
2021-09-24T01:20:36.0Z,49,51,2980.0,0.0,Neutral,"[uncomfortable, hesitant, unconfident]"
2021-09-24T01:20:48.0Z,51,48,2340.0,0.0,Neutral,"[focused, interested, hesitant]"
2021-09-24T01:10:58.0Z,66,53,2780.0,0.0,Neutral,"[friendly, warm, happy]"
2021-09-24T01:00:14.0Z,50,48,2340.0,0.0,Neutral,"[focused, confident, knowledgeable]"
2021-09-24T01:00:48.0Z,50,46,2440.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-24T01:00:52.0Z,50,39,1280.0,0.0,Neutral,"[calm, restrained, relaxed]"
2021-09-24T01:00:55.0Z,50,43,2000.0,0.0,Neutral,"[calm, relaxed, focused]"
2021-09-24T01:01:08.0Z,55,45,3180.0,0.0,Neutral,"[focused, content, interested]"
2021-09-24T01:00:04.0Z,55,46,2760.0,0.0,Neutral,"[focused, calm, relaxed]"
2021-09-24T00:50:25.0Z,53,49,2120.0,0.0,Neutral,"[interested, focused, curious]"
2021-09-24T00:50:32.0Z,55,49,2280.0,0.0,Neutral,"[focused, interested, polite]"
2021-09-24T00:50:36.0Z,44,48,4500.0,0.0,Neutral,"[hesitant, unconfident, skeptical]"
2021-09-24T00:50:46.0Z,51,48,1670.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-24T00:50:48.0Z,51,48,7670.0,0.0,Neutral,"[knowledgeable, focused, interested]"
2021-09-24T00:50:56.0Z,49,47,1800.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-24T00:51:01.0Z,46,50,4390.0,0.0,Neutral,"[skeptical, curious, confused]"
2021-09-24T00:51:10.0Z,52,47,3710.0,0.0,Neutral,"[focused, interested, confident]"
2021-09-24T00:50:10.0Z,52,36,1900.0,0.0,Neutral,"[calm, relaxed, restrained]"
2021-09-24T00:39:56.0Z,51,44,1730.0,0.0,Neutral,"[hesitant, restrained, calm]"
2021-09-24T00:39:58.0Z,51,42,1900.0,0.0,Neutral,"[calm, focused, relaxed]"
