Start Time (UTC),End Time (UTC),Phone Model,App Version,OS,OS Version,Session Subtype,Positivity,Energy,Number of Utterances,Descriptors,Overall Positivity/Energy Bin,Positivity/Energy Bin Distribution,Amount of Speech (ms),Utterance Start Times
2021-09-24T01:19:50.0Z,2021-09-24T01:20:53.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,50,49,7,"[focused, curious, interested]",Neutral,"[Happy - 0, Calm - 0, Neutral - 7, Sad - 0, Angry - 0]",63000.0,"[2021-09-24T01:20:04.0Z, 2021-09-24T01:20:13.0Z, 2021-09-24T01:20:21.0Z, 2021-09-24T01:20:32.0Z, 2021-09-24T01:20:35.0Z, 2021-09-24T01:20:36.0Z, 2021-09-24T01:20:48.0Z]"
2021-09-24T01:09:52.0Z,2021-09-24T01:11:03.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,66,53,1,"[friendly, happy, warm]",Neutral,"[Happy - 0, Calm - 0, Neutral - 1, Sad - 0, Angry - 0]",71000.0,[2021-09-24T01:10:58.0Z]
2021-09-24T00:59:52.0Z,2021-09-24T01:01:16.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,52,45,6,"[focused, calm, relaxed]",Neutral,"[Happy - 0, Calm - 0, Neutral - 6, Sad - 0, Angry - 0]",84000.0,"[2021-09-24T01:00:14.0Z, 2021-09-24T01:00:48.0Z, 2021-09-24T01:00:52.0Z, 2021-09-24T01:00:55.0Z, 2021-09-24T01:01:08.0Z, 2021-09-24T01:00:04.0Z]"
2021-09-24T00:49:54.0Z,2021-09-24T00:51:13.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,50,48,9,"[focused, curious, interested]",Neutral,"[Happy - 0, Calm - 0, Neutral - 9, Sad - 0, Angry - 0]",79000.0,"[2021-09-24T00:50:25.0Z, 2021-09-24T00:50:32.0Z, 2021-09-24T00:50:36.0Z, 2021-09-24T00:50:46.0Z, 2021-09-24T00:50:48.0Z, 2021-09-24T00:50:56.0Z, 2021-09-24T00:51:01.0Z, 2021-09-24T00:51:10.0Z, 2021-09-24T00:50:10.0Z]"
2021-09-24T00:39:56.0Z,2021-09-24T00:41:20.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,57,48,9,"[amused, focused, interested]",Neutral,"[Happy - 1, Calm - 0, Neutral - 8, Sad - 0, Angry - 0]",84000.0,"[2021-09-24T00:39:56.0Z, 2021-09-24T00:39:58.0Z, 2021-09-24T00:40:00.0Z, 2021-09-24T00:40:04.0Z, 2021-09-24T00:40:07.0Z, 2021-09-24T00:40:11.0Z, 2021-09-24T00:40:20.0Z, 2021-09-24T00:40:59.0Z, 2021-09-24T00:41:08.0Z]"
2021-09-24T00:10:03.0Z,2021-09-24T00:10:10.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,50,27,1,"[bored, calm, restrained]",Sad,"[Happy - 0, Calm - 0, Neutral - 0, Sad - 1, Angry - 0]",7000.0,[2021-09-24T00:10:03.0Z]
2021-09-23T22:17:49.0Z,2021-09-23T22:19:09.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,50,44,7,"[focused, overbearing, hesitant]",Neutral,"[Happy - 0, Calm - 0, Neutral - 7, Sad - 0, Angry - 0]",80000.0,"[2021-09-23T22:17:51.0Z, 2021-09-23T22:17:58.0Z, 2021-09-23T22:18:20.0Z, 2021-09-23T22:18:32.0Z, 2021-09-23T22:18:37.0Z, 2021-09-23T22:18:45.0Z, 2021-09-23T22:18:54.0Z]"
2021-09-23T22:07:56.0Z,2021-09-23T22:09:15.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,50,36,2,"[calm, relaxed, restrained]",Neutral,"[Happy - 0, Calm - 0, Neutral - 2, Sad - 0, Angry - 0]",79000.0,"[2021-09-23T22:07:57.0Z, 2021-09-23T22:08:13.0Z]"
2021-09-23T21:47:55.0Z,2021-09-23T21:49:25.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,53,49,5,"[focused, interested, knowledgeable]",Neutral,"[Happy - 0, Calm - 0, Neutral - 5, Sad - 0, Angry - 0]",90000.0,"[2021-09-23T21:48:14.0Z, 2021-09-23T21:48:30.0Z, 2021-09-23T21:48:33.0Z, 2021-09-23T21:48:53.0Z, 2021-09-23T21:49:18.0Z]"
2021-09-23T21:38:03.0Z,2021-09-23T21:39:33.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,51,44,10,"[focused, interested, restrained]",Neutral,"[Happy - 0, Calm - 0, Neutral - 9, Sad - 1, Angry - 0]",90000.0,"[2021-09-23T21:38:06.0Z, 2021-09-23T21:38:09.0Z, 2021-09-23T21:38:14.0Z, 2021-09-23T21:38:20.0Z, 2021-09-23T21:38:23.0Z, 2021-09-23T21:38:24.0Z, 2021-09-23T21:38:34.0Z, 2021-09-23T21:38:39.0Z, 2021-09-23T21:39:09.0Z, 2021-09-23T21:39:11.0Z]"
2021-09-23T21:28:03.0Z,2021-09-23T21:29:21.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,50,44,8,"[focused, calm, hesitant]",Neutral,"[Happy - 0, Calm - 0, Neutral - 7, Sad - 1, Angry - 0]",78000.0,"[2021-09-23T21:28:05.0Z, 2021-09-23T21:28:17.0Z, 2021-09-23T21:28:50.0Z, 2021-09-23T21:28:51.0Z, 2021-09-23T21:29:04.0Z, 2021-09-23T21:29:14.0Z, 2021-09-23T21:29:16.0Z, 2021-09-23T21:29:26.0Z]"
