My Certifications,Organization,Concentration ,Skill 1,Skill 2,Organization URL,Type,START DATE,FINISH DATE,FINISH Date Goal,ReCertification Date,% COMPLETE,Status,URL,Exam & Training Cost,Exam Attempts,Total Costs,Funding Source, Additional Study Expenses ,Best Study Resource,Personal Expenses ,NOTES,Additional Study Resource,Additional Study Resource2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Memberships,Goals,Resources,Funding Source,Cost,,,,,,,,,,,,,,,,,,,
Enterprise DNA,MBB Project ,CASY On-Demand Learning Program | Coursera,Proponent Funded,"$10,000.00 ",,,,,,,,,,,,,,,,,,,
Data Camp,Excel Master Project ,SkillsBuild for Job Seekers (ibm.com),ESI,"$2,156.00 ",,,,,,,,,,,,,,,,,,,
PMI,Google Python for IT Support,SkillsBuild (udemy.com),ArmyIgnited, $-   ,,,,,,,,,,,,,,,,,,,
SHRM,Google Project Management,Skillsoft - US Army Login (skillport.com),Self, $-   ,,,,,,,,,,,,,,,,,,,
AUSA,IBM Advanced Data Science,LinkedIn Learning,Vetjobs,#VALUE!,,,,,,,,,,,,,,,,,,,
LinkedIn Learning,Data Camp Data Analyst,Microsoft Learn,Unit, $-   ,,,,,,,,,,,,,,,,,,,
DataCamp,Kaggle Profile,Enterprise Skills Initiative,Total,#VALUE!,,,,,,,,,,,,,,,,,,,
