Start Time,End Time,Session Type,Session Subtype,Creation Method,Local Time Zone Offset,Activity Score,Intense Duration (ms),Moderate Duration (ms),Max Heart Rate (bpm),Average Heart Rate (bpm),Steps,Calories,Software Version,Software OS,Software OS Version,Active Time (ms),Total Duration (ms),Activity Pause,Session Source
2022-06-05T19:31:55.042Z,2022-06-05T20:15:45.549Z,WORKOUT,WALKING,Automatic,-5.0,33.62059083333333,No Data,1984958.0,119.0,107.0,3936.0,428.0,1.0.113437,ios,15.6,2630507.0,2630507.0,Not Applicable,User Logged
2022-06-05T19:06:01.946Z,2022-06-05T19:31:55.040Z,WORKOUT,RUNNING,Automatic,-5.0,48.852466666666665,1378054.0,175040.0,155.0,147.0,3921.0,439.0,1.0.113437,ios,15.6,1553094.0,1553094.0,Not Applicable,User Logged
2022-06-04T13:59:58.608Z,2022-06-04T15:09:38.904Z,WORKOUT,RUNNING,Automatic,-5.0,135.6716,3960000.0,220296.0,170.0,154.0,10524.0,1238.0,1.0.113437,ios,15.6,4180296.0000000005,4180296.0000000005,Not Applicable,User Logged
2022-06-03T13:18:00.000Z,2022-06-03T13:51:00.000Z,WORKOUT,OTHER,Automatic,-5.0,28.25,No Data,1680000.0,123.0,100.0,1195.0,198.0,1.0.113437,ios,15.6,1980000.0,1980000.0,Not Applicable,User Logged
2022-06-03T12:41:52.065Z,2022-06-03T13:17:56.102Z,WORKOUT,RUNNING,Automatic,-5.0,66.99164583333334,1920000.0,176102.0,165.0,149.0,5326.0,607.0,1.0.113437,ios,15.6,2164037.0,2164037.0,Not Applicable,User Logged
2022-05-31T12:34:00.000Z,2022-05-31T13:18:00.000Z,WORKOUT,OTHER,Automatic,-5.0,24.85,No Data,1440000.0,117.0,94.0,1645.0,253.0,1.0.113437,ios,15.6,2640000.0,2640000.0,Not Applicable,User Logged
2022-05-31T11:44:50.558Z,2022-05-31T12:33:30.765Z,WORKOUT,RUNNING,Automatic,-5.0,92.57061833333333,2700000.0,150765.0,164.0,146.0,7446.0,807.0,1.0.113437,ios,15.6,2920207.0,2920207.0,Not Applicable,User Logged
2022-05-30T18:22:39.015Z,2022-05-30T18:34:37.194Z,WORKOUT,WALKING,Automatic,-5.0,10.96965,No Data,658179.0,126.0,114.0,822.0,117.0,1.0.113437,ios,15.6,718179.0,718179.0,Not Applicable,User Logged
2022-05-30T17:47:51.460Z,2022-05-30T18:22:38.941Z,WORKOUT,RUNNING,Automatic,-5.0,65.64901666666667,1860000.0,218941.0,172.0,155.0,5246.0,630.0,1.0.113437,ios,15.6,2087481.0000000002,2087481.0000000002,Not Applicable,User Logged
2022-05-29T17:13:26.436Z,2022-05-29T17:45:47.281Z,WORKOUT,WALKING,Automatic,-5.0,1.3673708333333334,No Data,No Data,79.0,63.0,2103.0,107.0,1.0.113437,ios,15.6,1940845.0,1940845.0,Not Applicable,User Logged
2022-05-28T16:45:00.000Z,2022-05-28T17:19:00.000Z,WORKOUT,OTHER,Automatic,-5.0,16.7,No Data,960000.0,120.0,96.0,1174.0,177.0,1.0.113437,ios,15.6,2040000.0,2040000.0,Not Applicable,User Logged
2022-05-28T16:02:04.390Z,2022-05-28T16:33:58.828Z,WORKOUT,RUNNING,Automatic,-5.0,62.88776666666667,1858828.0,55610.0,172.0,161.0,5019.0,600.0,1.0.113437,ios,15.6,1914438.0,1914438.0,Not Applicable,User Logged
2022-05-27T19:46:00.000Z,2022-05-27T20:19:00.000Z,WORKOUT,OTHER,Automatic,-5.0,19.4,No Data,1140000.0,117.0,97.0,1296.0,212.0,1.0.113437,ios,15.6,1980000.0,1980000.0,Not Applicable,User Logged
2022-05-27T19:13:00.000Z,2022-05-27T19:36:00.000Z,WORKOUT,OTHER,Automatic,-5.0,13.25,No Data,780000.0,123.0,100.0,434.0,114.0,1.0.113437,ios,15.6,1380000.0,1380000.0,Not Applicable,User Logged
2022-05-27T16:42:07.175Z,2022-05-27T17:13:05.189Z,WORKOUT,RUNNING,Automatic,-5.0,59.13050416666667,1740000.0,65189.0,165.0,145.0,4396.0,502.0,1.0.113437,ios,15.6,1858014.0,1858014.0,Not Applicable,User Logged
2022-05-25T12:18:57.257Z,2022-05-25T13:27:42.661Z,WORKOUT,RUNNING,Automatic,-5.0,130.7133025,3720000.0,402661.0,166.0,146.0,10194.0,1137.0,1.0.113437,ios,15.6,4125404.0000000005,4125404.0000000005,Not Applicable,User Logged
2022-05-25T01:28:01.885Z,2022-05-25T01:38:42.698Z,WORKOUT,WALKING,Automatic,-5.0,1.4840108333333333,No Data,60000.0,105.0,88.0,753.0,72.0,1.0.113437,ios,15.6,640813.0,640813.0,Not Applicable,User Logged
2022-05-24T05:01:39.254Z,2022-05-24T05:30:50.259Z,WORKOUT,RUNNING,Automatic,-5.0,56.69258833333333,1670259.0,60000.0,147.0,137.0,4420.0,437.0,1.0.113437,ios,15.5,1751005.0,1751005.0,Not Applicable,User Logged
2022-05-17T18:49:50.296Z,2022-05-17T19:00:13.155Z,WORKOUT,WALKING,Automatic,-5.0,9.272695833333334,60000.0,429704.0,140.0,110.0,747.0,81.0,1.0.111055,ios,15.5,622859.0,622859.0,Not Applicable,User Logged
2022-05-17T18:29:28.161Z,2022-05-17T18:40:02.812Z,WORKOUT,WALKING,Automatic,-5.0,9.123399166666667,No Data,542812.0,117.0,105.0,679.0,85.0,1.0.111055,ios,15.5,634651.0,634651.0,Not Applicable,User Logged
2022-05-17T12:05:49.522Z,2022-05-17T13:15:35.757Z,WORKOUT,RUNNING,Automatic,-5.0,132.77058333333332,3780000.0,406235.0,166.0,148.0,10599.0,1207.0,1.0.111055,ios,15.5,4186234.9999999995,4186234.9999999995,Not Applicable,User Logged
2022-05-16T12:58:00.000Z,2022-05-16T13:28:00.000Z,WORKOUT,OTHER,Automatic,-5.0,15.75,No Data,900000.0,128.0,95.0,1139.0,176.0,1.0.109384,ios,15.5,1800000.0,1800000.0,Not Applicable,User Logged
2022-05-16T12:23:31.664Z,2022-05-16T12:57:25.502Z,WORKOUT,RUNNING,Automatic,-5.0,62.8973,1740000.0,293838.0,166.0,143.0,4899.0,549.0,1.0.109384,ios,15.5,2033838.0,2033838.0,Not Applicable,User Logged
2022-05-15T17:15:48.403Z,2022-05-15T17:36:09.259Z,WORKOUT,WALKING,Automatic,-5.0,9.55,No Data,540000.0,114.0,89.0,1968.0,157.0,1.0.109384,ios,15.5,1220856.0,1220856.0,Not Applicable,User Logged
2022-05-15T16:13:34.640Z,2022-05-15T16:46:25.932Z,WORKOUT,WALKING,Automatic,-5.0,12.85,No Data,720000.0,109.0,85.0,2711.0,231.0,1.0.109384,ios,15.5,1971292.0,1971292.0,Not Applicable,User Logged
2022-05-14T20:14:48.827Z,2022-05-14T21:02:56.439Z,WORKOUT,WALKING,Automatic,-5.0,11.709310833333333,No Data,600000.0,111.0,86.0,3248.0,287.0,1.0.109384,ios,15.5,2887612.0,2887612.0,Not Applicable,User Logged
2022-05-14T16:19:14.306Z,2022-05-14T16:55:11.635Z,WORKOUT,RUNNING,Automatic,-5.0,64.95548333333333,1740000.0,417329.0,143.0,127.0,4983.0,480.0,1.0.109384,ios,15.5,2157329.0,2157329.0,Not Applicable,User Logged
2022-05-13T04:56:33.816Z,2022-05-13T05:54:32.975Z,WORKOUT,RUNNING,Automatic,-5.0,113.57140333333334,3360000.0,92975.0,150.0,143.0,8881.0,954.0,1.0.109384,ios,15.5,3479159.0,3479159.0,Not Applicable,User Logged
2022-05-12T14:02:14.618Z,2022-05-12T14:17:16.820Z,WORKOUT,WALKING,Automatic,-5.0,0.601835,No Data,No Data,93.0,70.0,971.0,66.0,1.0.109384,ios,15.5,902202.0,902202.0,Not Applicable,User Logged
2022-05-11T13:17:00.000Z,2022-05-11T13:46:00.000Z,WORKOUT,OTHER,Automatic,-5.0,11.85,60000.0,540000.0,143.0,90.0,1050.0,139.0,1.0.109384,ios,15.5,1740000.0,1740000.0,Not Applicable,User Logged
2022-05-11T12:20:11.464Z,2022-05-11T13:16:23.827Z,WORKOUT,RUNNING,Automatic,-5.0,105.20605,2940000.0,432363.0,163.0,141.0,8477.0,907.0,1.0.109384,ios,15.5,3372363.0,3372363.0,Not Applicable,User Logged
2022-05-09T12:40:54.825Z,2022-05-09T13:12:06.235Z,WORKOUT,RUNNING,Automatic,-5.0,60.15822916666667,1800000.0,6235.0,153.0,139.0,4948.0,499.0,1.0.109384,ios,15.5,1871410.0,1871410.0,Not Applicable,User Logged
2022-05-08T20:52:22.215Z,2022-05-08T21:09:48.288Z,WORKOUT,WALKING,Automatic,-5.0,0.8217275000000002,No Data,No Data,102.0,78.0,1069.0,84.0,1.0.109384,ios,15.5,1046073.0000000001,1046073.0000000001,Not Applicable,User Logged
