Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Max Speed,Avg Heart Rate,Steps,Notes,Source,Link
2022-08-12,2022-08-12,Indoor Run / Jog,831,6.21,3617,9.70746,10,6.18081,6,144,9306,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6775716568
2022-08-11,2022-08-11,Run,576,4.62746,3712,13.3661,2,4.48896,39,116,7878,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6771943882
2022-08-10,2022-08-10,Run,863,7.02161,4441,10.5393,1,5.693,62,144,11520,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6769680244
2022-08-09,2022-08-09,Run,626,6.35313,4274,11.2104,1,5.35219,57,145,11074,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6769551199
2022-08-08,2022-08-08,Run,797,6.34867,4013,10.5318,1,5.69702,119,146,10360,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6765021667
2022-08-06,2022-08-06,Walk,290,2.14121,2267,17.6365,2,3.40204,26,119,4141,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6762303220
2022-08-06,2022-08-06,Run,311,2.36879,1410,9.91253,1,6.05294,63,152,3639,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6762252706
2022-08-03,2022-08-03,Run,820,6.09,3600,9.85222,0,6.09,0,142,9545,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6756327499
2022-07-30,2022-07-30,Run,1117,8.0,5187,10.8062,0,5.55234,0,142,13634,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6746838721
2022-07-28,2022-07-28,Run,314,3.1554,1905,10.0635,0,5.96213,158,158,5020,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6742299109
2022-07-25,2022-07-25,Run,430,4.2552,6268,24.4819,1,2.45079,72,87,8227,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6735014767
2022-07-24,2022-07-24,Run,415,3.1,1805,9.7043,0,6.18283,0,142,4793,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6733355986
2022-07-21,2022-07-21,Walk,227,1.60334,1657,17.2116,2,3.48602,35,131,3001,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6727309057
2022-07-21,2022-07-21,Run,422,3.10069,1857,9.9778,1,6.01335,50,158,4849,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6727253488
2022-07-20,2022-07-20,Run,836,6.2,3689,9.91667,0,6.05042,0,142,9775,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6725708821
2022-07-18,2022-07-18,Run,1175,9.00279,5709,10.5677,0,5.67767,130,143,14918,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6720217687
2022-07-17,2022-07-17,Run,404,3.1,1593,8.56452,0,7.00565,0,142,4286,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6719394583
2022-07-17,2022-07-16,Run,405,3.1,1698,9.12903,0,6.57244,0,142,4537,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6717609358
2022-07-14,2022-07-14,Run,452,3.75571,2157,9.56352,1,6.27384,60,148,5684,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6712022614
2022-07-13,2022-07-13,Run,398,3.1082,1912,10.2504,1,5.8534,55,150,4991,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6710482102
2022-07-12,2022-07-12,Run,421,3.10741,1968,10.5533,1,5.68541,56,155,5134,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6707750914
2022-07-12,2022-07-11,Run,197,1.99974,1409,11.7439,2,5.10902,31,145,3302,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6707675275
2022-07-10,2022-07-10,Run,429,3.09815,2301,12.3732,1,4.8492,60,149,5125,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6703432939
2022-07-09,2022-07-09,Run,430,3.10009,2005,10.7738,1,5.56904,51,157,5261,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6701305771
2022-07-08,2022-07-08,Run,454,3.10995,1988,10.6494,4,5.6341,15,165,5202,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6699270562
2022-06-24,2022-06-24,Run,400,3.1,1554,8.35484,0,7.18147,0,142,4192,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6669369046
2022-06-23,2022-06-23,Run,410,3.1,1748,9.39785,0,6.38444,0,142,4656,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6666750427
2022-06-21,2022-06-22,Run,403,3.1,1665,8.95161,0,6.7027,0,142,4458,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6663099454
2022-06-19,2022-06-19,Run,378,2.66,1800,11.2782,0,5.32,0,142,4713,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6658125994
2022-06-18,2022-06-18,Run,370,2.57857,1698,10.9661,1,5.4714,54,159,4431,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6655598125
