Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Tree,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-BCB5D0900FB3F8D822D291AB05CA7121E0AF8015BFDA2137993E8AE5CA5295CE,FireTV Stick 2016,2020-09-16T03:15:31.252Z,2020-09-17T02:26:43.679Z,2020-09-16T03:15:31.252Z,2020-09-17T02:00:39.916Z,2020-09-16T03:15:31.252Z,2020-09-17T02:26:43.679Z,2020-09-16T03:15:31.252Z,2020-09-17T02:00:39.916Z,
Tree,NFXONE-03-1KKCXXZWYAUK3JU6249UHY97H7TGJEAE7D3D1RSTT0TNWW4FRFTK,Microsoft Xbox One S,2020-09-12T04:38:27.228Z,2020-09-13T05:49:54.444Z,2020-09-12T04:38:29.092Z,2020-09-12T04:54:22.048Z,2020-09-12T04:38:27.228Z,2020-09-13T05:49:54.444Z,2020-09-12T04:38:29.092Z,2020-09-12T04:54:22.048Z,
Tree,NFAPPL-01-IPAD5=1-3E0794C24E93550FAA5385962E946562045779E1AA142AE0C5EC2A130535E274,Apple iPad Mini 4 WiFi,2020-07-05T19:34:01.942Z,2020-09-07T01:32:29.672Z,2020-07-05T19:34:01.942Z,2020-09-07T01:32:29.672Z,2020-07-05T19:34:01.942Z,2020-09-07T01:32:29.672Z,2020-07-05T19:34:01.942Z,2020-09-07T01:32:29.672Z,
Tree,NFXONE-04-HNFB5B6UV7PEP9272A292PZ99JC8AYFXWTS7PV1YN2YHNVGD3KM,Microsoft Xbox One X,2020-07-14T02:03:33.582Z,2020-09-06T04:02:43.103Z,2020-07-14T02:10:31.103Z,2020-09-06T04:02:43.103Z,2020-08-16T03:54:42.640Z,2020-09-06T04:02:43.103Z,2020-08-16T03:54:42.640Z,2020-09-06T04:02:43.103Z,
Dad,NFXONE-04-HNFB5B6UV7PEP9272A292PZ99JC8AYFXWTS7PV1YN2YHNVGD3KM,Microsoft Xbox One X,2020-07-14T02:03:33.582Z,2020-09-06T04:02:43.103Z,2020-07-14T02:10:31.103Z,2020-09-06T04:02:43.103Z,2020-07-14T02:03:33.582Z,2020-08-26T00:37:29.031Z,2020-07-14T02:10:31.103Z,2020-08-25T23:57:32.726Z,
Dad,SSTV-X101-140707-0015070982-0F60,Samsung 2012 Mstar X10 Smart TV,2020-07-29T16:37:08.766Z,2020-08-11T04:39:07.065Z,2020-07-29T16:37:08.766Z,2020-08-11T04:39:07.065Z,2020-08-10T03:10:47.763Z,2020-08-11T04:39:07.065Z,2020-08-10T03:10:47.763Z,2020-08-11T04:39:07.065Z,
Tree,NFUWA-001-9C7ADD7E0370A6C1BFB9B55DC478539525844263A7609F6061053F32BF46D20E,Netflix Windows App - Cadmium Windows Mobile,2020-08-10T17:20:28.824Z,2020-08-10T17:20:28.824Z,2020-08-10T17:20:28.824Z,2020-08-10T17:20:28.824Z,2020-08-10T17:20:28.824Z,2020-08-10T17:20:28.824Z,2020-08-10T17:20:28.824Z,2020-08-10T17:20:28.824Z,
Dad,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-16384-8E8DECF5E61BD9D5C43BE9A1C976DFAC938075DB64593C6E31D70A1442D23704,FireTV Stick 2016,2020-07-08T19:49:45.833Z,2020-08-08T14:25:52.484Z,2020-07-08T19:49:45.833Z,2020-08-08T14:25:52.484Z,2020-07-08T19:49:45.833Z,2020-08-08T14:25:52.484Z,2020-07-08T19:49:45.833Z,2020-08-08T14:25:52.484Z,
Tree,SSTV-X101-140707-0015070982-0F60,Samsung 2012 Mstar X10 Smart TV,2020-07-29T16:37:08.766Z,2020-08-11T04:39:07.065Z,2020-07-29T16:37:08.766Z,2020-08-11T04:39:07.065Z,2020-07-29T16:37:08.766Z,2020-08-03T00:27:29.406Z,2020-07-29T16:37:08.766Z,2020-08-03T00:27:29.406Z,
Dad,NFAPPL-02-IPHONE11=8-CC8B828CC65C22B96A548E50003EAF5B3EAC0BF42D525F1B13A98CA949AFAFD2,Apple iPhone XR,2020-07-06T21:40:59.476Z,2020-07-29T21:18:00.832Z,2020-07-06T21:40:59.476Z,2020-07-29T21:17:53.707Z,2020-07-06T21:40:59.476Z,2020-07-29T21:18:00.832Z,2020-07-06T21:40:59.476Z,2020-07-29T21:17:53.707Z,
Dad,NFAPPL-01-IPAD5=1-1A6D4CF0A28D715FDF22A7AC1C804CCE97BCC54350174060DE9B0A235867DA4C,Apple iPad Mini 4 WiFi,2020-07-19T23:03:47.335Z,2020-07-22T04:27:33.417Z,2020-07-19T23:03:47.335Z,2020-07-22T04:02:06.160Z,2020-07-19T23:03:47.335Z,2020-07-22T04:27:33.417Z,2020-07-19T23:03:47.335Z,2020-07-22T04:02:06.160Z,
Dad,NFAPPL-02-IPHONE11=8-25C99B32D33CEBC77C4BF49D752A678ABFBA8F0B44218D70F12DA537A822D1ED,Apple iPhone XR,2020-07-09T14:43:47.696Z,2020-07-16T05:59:12.878Z,2020-07-09T14:43:47.696Z,2020-07-16T05:36:49.632Z,2020-07-09T14:43:47.696Z,2020-07-16T05:59:12.878Z,2020-07-09T14:43:47.696Z,2020-07-16T05:36:49.632Z,
Mom,NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-47642640C511A36BA6AF086C1EC6B3378E9A762D894355AC44D8EC24B69B34F6,FireTV 4K Stick 2018,2020-04-10T20:24:47.236Z,2020-11-15T02:56:13.424Z,2020-06-27T04:07:41.699Z,2020-11-15T02:56:13.424Z,2020-04-10T20:24:47.236Z,2020-04-10T20:24:47.236Z,,,
Tree,RKU-37XXX-YU00KH435973,Roku Littlefield Set Top Box,2019-09-28T01:51:04.095Z,2020-03-14T03:29:37.003Z,2020-01-21T03:31:31.656Z,2020-03-14T03:29:37.003Z,2019-09-28T01:51:04.095Z,2020-03-14T03:29:37.003Z,2020-03-14T03:29:37.003Z,2020-03-14T03:29:37.003Z,
Mom,RKU-44XXX-YY00D7722543,Roku Dallas Set Top Box (Roku 4),2019-11-12T16:23:01.470Z,2020-02-14T06:56:51.681Z,,,2020-02-12T05:58:40.806Z,2020-02-14T06:56:51.681Z,,,
Dad,RKU-37XXX-YU00KH435973,Roku Littlefield Set Top Box,2019-09-28T01:51:04.095Z,2020-03-14T03:29:37.003Z,2020-01-21T03:31:31.656Z,2020-03-14T03:29:37.003Z,2020-01-21T03:31:31.656Z,2020-01-21T03:31:31.656Z,2020-01-21T03:31:31.656Z,2020-01-21T03:31:31.656Z,
Guest,SSTV-HKM1-0000000000000005118267,Samsung 2015 Hawk-M Smart TV,2019-09-14T14:31:27.504Z,2020-01-04T12:21:22.252Z,2020-01-04T12:21:22.252Z,2020-01-04T12:21:22.252Z,2019-09-14T14:31:27.504Z,2020-01-04T12:21:22.252Z,2020-01-04T12:21:22.252Z,2020-01-04T12:21:22.252Z,
Guest,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-960F1708C42ACBF2BF680C1287209EA0D212FE85E100A0292933BA9E55000D38,FireTV Stick 2016,2019-09-29T08:49:23.076Z,2019-12-22T09:48:20.064Z,2019-12-08T07:35:56.575Z,2019-12-08T08:21:05.760Z,2019-09-29T08:49:23.076Z,2019-12-22T09:48:20.064Z,2019-12-08T07:35:56.575Z,2019-12-08T08:21:05.760Z,
