Certification Tracker,,,,,,,,,,,,,,,,,,,,,,,
My Certifications,Organization,Concentration ,Skill 1,Skill 2,Organization URL,Type,START DATE,FINISH DATE,FINISH Date Goal,ReCertification Date,% COMPLETE,Status,URL,Exam/Training Cost,Exam Attempts,Total Costs,Funding Source, Additional Study Expenses ,Best Study Resource,Personal Expenses ,NOTES,Additional Study Resource,Additional Study Resource2
Intermediate Data Analytics Certificate,University of South Carolina,Data Analysis,Power Bi,Microsoft Excel,https://armyeitaas.sharepoint-mil.us/teams/FCS-UofSCDataAnalyticsProgram,Professional Certificate,3/14/2022,3/25/2022,3/25/2022,,100%,Done,https://armyeitaas.sharepoint-mil.us/teams/FCS-UofSCDataAnalyticsProgram,6000,1,6000,Proponent Funded,,,,Moved to virtual due to budget,,
Azure Fundamentals,Microsoft ,Azure,Microsoft Data Platforms,,https://docs.microsoft.com/en-us/learn/,Certification,3/26/2022,3/27/2022,3/27/2022,,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,99,1,99,ESI,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Memberships,Goals,Resources,Funding Source,Cost,,,,,,,,,,,,,,,,,,,
Enterprise DNA,MBB Project ,CASY On-Demand Learning Program | Coursera,Proponent Funded,"$4,000.00 ",,,,,,,,,,,,,,,,,,,
Data Camp,Excel Master Project ,SkillsBuild for Job Seekers (ibm.com),ESI,"$2,156.00 ",,,,,,,,,,,,,,,,,,,
PMI,Google Python for IT Support,SkillsBuild (udemy.com),ArmyIgnited,,,,,,,,,,,,,,,,,,,,
SHRM,Google Project Management,Skillsoft - US Army Login (skillport.com),Self,,,,,,,,,,,,,,,,,,,,
AUSA,IBM Advanced Data Science,LinkedIn Learning,Vetjobs,#VALUE!,,,,,,,,,,,,,,,,,,,
LinkedIn Learning,Data Camp Data Analyst,Microsoft Learn,Unit,,,,,,,,,,,,,,,,,,,,
DataCamp,Kaggle Profile,Enterprise Skills Initiative,Total,#VALUE!,,,,,,,,,,,,,,,,,,,
