,Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Max Speed,Avg Heart Rate,Steps,Notes,Source,Link,Calculated
285,2020-08-02,2020-08-02,Run,236,2.24,1302,9.7,1.12,6.19,53.45,127.0,3499.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4553343865,21.7
286,2020-08-01,2020-08-01,Run,300,2.68,1540,9.58,0.89,6.27,67.28,150.0,4155.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4550939851,25.666666666666668
287,2020-07-31,2020-07-31,Run,211,2.0,1135,9.46,1.14,6.34,52.56,153.0,3047.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4547327524,18.916666666666668
288,2020-07-30,2020-07-30,Run,439,4.0,2715,11.31,1.05,5.31,57.05,151.0,6478.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4544416318,45.25
289,2020-07-28,2020-07-28,Run,328,3.11,1826,9.76,0.93,6.15,64.65,147.0,4926.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4537667767,30.433333333333334
290,2020-07-27,2020-07-27,Run,325,3.09,1669,9.0,1.05,6.67,57.07,160.0,4501.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4534136092,27.816666666666666
291,2020-07-26,2020-07-26,Run,105,1.69,998,9.85,1.46,6.09,40.96,152.0,2635.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4532127631,16.633333333333333
292,2020-07-24,2020-07-24,Run,312,2.85,1638,9.57,0.92,6.27,65.07,156.0,4356.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4526617765,27.3
293,2020-07-23,2020-07-23,Run,385,3.48,2070,9.9,1.04,6.06,57.95,159.0,5564.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4524051922,34.5
294,2020-07-21,2020-07-21,Run,213,2.02,1122,9.27,0.44,6.47,137.08,151.0,3008.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4517769403,18.7
295,2020-07-20,2020-07-20,Run,232,2.06,1157,9.37,1.16,6.41,51.55,157.0,3131.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4514450527,19.283333333333335
296,2020-07-17,2020-07-17,Run,118,1.16,649,9.35,4.63,6.42,12.95,117.0,1728.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4506213121,10.816666666666666
297,2020-07-16,2020-07-16,Run,348,3.34,1819,9.07,5.81,6.61,10.33,128.0,4894.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4503101299,30.316666666666666
298,2020-07-16,2020-07-13,Run,412,4.0,2297,9.56,4.77,6.27,12.58,117.0,6253.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4502988544,38.28333333333333
299,2020-07-12,2020-07-12,Run,326,3.22,1807,9.34,0.94,6.42,63.63,130.0,4845.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4491636484,30.116666666666667
300,2020-07-12,2020-07-10,Run,368,3.43,2046,9.94,1.0,6.04,60.16,141.0,5506.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4491474610,34.1
301,2020-07-09,2020-07-09,Run,261,2.62,1563,9.93,0.99,6.04,60.57,138.0,4211.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4482698968,26.05
302,2020-07-08,2020-07-08,Run,266,2.63,1529,9.7,1.12,6.19,53.62,137.0,4178.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4479521377,25.483333333333334
304,2020-07-07,2020-07-07,Run,261,2.56,1390,9.06,1.1,6.62,54.62,144.0,3798.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4477803571,23.166666666666668
305,2020-07-03,2020-07-03,Run,378,3.51,2096,9.96,0.63,6.02,95.67,150.0,5711.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4465623655,34.93333333333333
306,2020-06-30,2020-06-30,Run,339,3.17,1809,9.52,0.89,6.3,67.19,130.0,4963.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4454751304,30.15
307,2020-06-29,2020-06-29,Run,144,1.4,810,9.66,2.39,6.21,25.11,146.0,2199.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4453005238,13.5
308,2020-06-29,2020-06-29,Run,189,1.81,997,9.19,1.13,6.53,53.13,143.0,2704.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4452900775,16.616666666666667
309,2020-06-29,2020-06-29,Run,409,4.01,2331,9.68,1.41,6.2,42.49,135.0,6347.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4451193496,38.85
310,2020-06-28,2020-06-28,Run,447,4.34,2571,9.87,1.03,6.08,58.11,122.0,6954.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4449333193,42.85
312,2020-06-27,2020-06-27,Run,535,5.06,2863,9.43,0.87,6.36,69.15,149.0,7823.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4446156157,47.71666666666667
314,2020-06-26,2020-06-26,Run,63,0.58,325,9.32,0.93,6.44,64.85,123.0,845.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4443926023,5.416666666666667
