Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Guest,DE,Streaming Stick,0,soni,Pac's Scary Halloween,play,video_info,2019-04-29 16:43:13
Guest,DE,Streaming Stick,0,soni,Pac's Scary Halloween,view_video_info,suggestion_title_results,2019-04-29 16:43:13
Guest,DE,Streaming Stick,0,soni,Pac-Man und die Geisterabenteuer,view_video_info,suggestion_title_results,2019-04-29 16:18:16
Guest,DE,Streaming Stick,0,soni,Pac-Man und die Geisterabenteuer,play,video_info,2019-04-29 16:18:16
Guest,DE,Streaming Stick,0,soni,Sonic Revolution: A Celebration of the MC5,view_suggestion_info,suggestion_results,2019-04-29 16:18:14
Guest,DE,Streaming Stick,0,soni,Pac-Man und die Geisterabenteuer,play,video_info,2019-04-29 16:18:08
Guest,DE,Streaming Stick,0,soni,Pac-Man und die Geisterabenteuer,view_video_info,title_results,2019-04-29 16:18:08
Guest,DE,Streaming Stick,0,soni,Sonic Boom,view_video_info,title_results,2019-04-29 16:16:31
Guest,DE,Streaming Stick,0,soni,Sonic Boom,play,video_info,2019-04-29 16:16:31
Guest,DE,Streaming Stick,0,soni,Sonic Boom,view_video_info,title_results,2019-04-29 16:06:56
Guest,DE,Streaming Stick,0,soni,Sonic Boom,play,video_info,2019-04-29 16:06:56
Guest,DE,Streaming Stick,0,soni,Sonic Boom,play,video_info,2019-04-29 16:06:42
Guest,DE,Streaming Stick,0,soni,Sonic Boom,view_video_info,title_results,2019-04-29 16:06:42
Guest,DE,Streaming Stick,0,s,SpongeBob Schwammkopf,play,video_info,2019-03-21 07:04:02
Guest,DE,Streaming Stick,0,s,SpongeBob Schwammkopf,view_video_info,title_results,2019-03-21 07:04:02
Guest,BE,Smart TV,0,the b,The Boy Who Harnessed the Wind,view_video_info,title_results,2019-03-17 13:16:10
Guest,BE,Smart TV,0,the b,The Boy Who Harnessed the Wind,play,video_info,2019-03-17 13:16:10
Guest,DE,Streaming Stick,0,p,PAW Patrol,view_video_info,title_results,2019-03-07 18:42:29
Guest,DE,Streaming Stick,0,p,PAW Patrol,play,video_info,2019-03-07 18:42:29
Guest,BE,Smart TV,0,su,Bright,play,video_info,2019-02-10 17:15:28
Guest,BE,Smart TV,0,su,Bright,view_video_info,suggestion_title_results,2019-02-10 17:15:28
Guest,BE,Smart TV,0,su,Suicide Squad,view_suggestion_info,suggestion_results,2019-02-10 17:15:27
Guest,BE,Smart TV,0,bir,Bird Box – Schließe deine Augen,view_video_info,title_results,2019-02-03 12:40:37
Guest,BE,Smart TV,0,bir,Bird Box – Schließe deine Augen,play,video_info,2019-02-03 12:40:37
Guest,BE,Smart TV,0,tax,Taxi 4,view_suggestion_info,suggestion_results,2019-01-28 20:01:25
Guest,BE,Smart TV,0,steel,Steel Magnolias,view_suggestion_info,suggestion_results,2018-12-23 17:58:05
Guest,BE,Smart TV,0,taxi,Die Reise zur geheimnisvollen Insel,view_video_info,title_results,2018-12-23 17:55:32
Guest,BE,Smart TV,0,taxi,Die Reise zur geheimnisvollen Insel,play,video_info,2018-12-23 17:55:32
Guest,BE,Smart TV,0,last,Weihnachten entkommt keiner,view_video_info,suggestion_title_results,2018-12-23 17:51:50
Guest,BE,Smart TV,0,last,Weihnachten entkommt keiner,play,video_info,2018-12-23 17:51:50
Guest,BE,Smart TV,0,last,Liebe braucht keine Ferien,play,video_info,2018-12-23 17:51:45
Guest,BE,Smart TV,0,last,Liebe braucht keine Ferien,view_video_info,suggestion_title_results,2018-12-23 17:51:45
Guest,BE,Smart TV,0,last,Last Holiday,view_suggestion_info,suggestion_results,2018-12-23 17:51:37
Guest,BE,Smart TV,0,ve,Verónica,play,video_info,2018-12-18 20:11:48
