Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Dad,"Ozark: Season 4: ""The Cousin of Death""",Edge OSS - Mac (Cadmium),2022-05-12 04:12:18,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1373122},{""eventType"":""playing"",""sessionOffsetMs"":1634,""mediaOffsetMs"":1373122},{""eventType"":""paused"",""sessionOffsetMs"":506325,""mediaOffsetMs"":2382504},{""eventType"":""reposition"",""sessionOffsetMs"":1011016,""mediaOffsetMs"":2369201},{""eventType"":""playing"",""sessionOffsetMs"":1011032,""mediaOffsetMs"":2369201},{""eventType"":""paused"",""sessionOffsetMs"":1011290,""mediaOffsetMs"":2369716},{""eventType"":""reposition"",""sessionOffsetMs"":1011547,""mediaOffsetMs"":2358106},{""eventType"":""playing"",""sessionOffsetMs"":1011736,""mediaOffsetMs"":2358106},{""eventType"":""paused"",""sessionOffsetMs"":1012121,""mediaOffsetMs"":2358876},{""eventType"":""reposition"",""sessionOffsetMs"":1012506,""mediaOffsetMs"":2344301},{""eventType"":""playing"",""sessionOffsetMs"":1012757,""mediaOffsetMs"":2344301},{""eventType"":""paused"",""sessionOffsetMs"":1012968,""mediaOffsetMs"":2344723},{""eventType"":""reposition"",""sessionOffsetMs"":1013179,""mediaOffsetMs"":2331079},{""eventType"":""playing"",""sessionOffsetMs"":1013348,""mediaOffsetMs"":2331079},{""eventType"":""paused"",""sessionOffsetMs"":1013573,""mediaOffsetMs"":2331529},{""eventType"":""reposition"",""sessionOffsetMs"":1013798,""mediaOffsetMs"":2317816},{""eventType"":""playing"",""sessionOffsetMs"":1014101,""mediaOffsetMs"":2317816},{""eventType"":""paused"",""sessionOffsetMs"":1014389,""mediaOffsetMs"":2318392},{""eventType"":""reposition"",""sessionOffsetMs"":1014677,""mediaOffsetMs"":2304553},{""eventType"":""playing"",""sessionOffsetMs"":1014884,""mediaOffsetMs"":2304553},{""eventType"":""paused"",""sessionOffsetMs"":1015119,""mediaOffsetMs"":2305023},{""eventType"":""reposition"",""sessionOffsetMs"":1015354,""mediaOffsetMs"":2291290},{""eventType"":""playing"",""sessionOffsetMs"":1015519,""mediaOffsetMs"":2291290},{""eventType"":""paused"",""sessionOffsetMs"":1015806,""mediaOffsetMs"":2291863},{""eventType"":""reposition"",""sessionOffsetMs"":1016092,""mediaOffsetMs"":2278360},{""eventType"":""playing"",""sessionOffsetMs"":1016263,""mediaOffsetMs"":2278360},{""eventType"":""paused"",""sessionOffsetMs"":1016590,""mediaOffsetMs"":2279013},{""eventType"":""reposition"",""sessionOffsetMs"":1016916,""mediaOffsetMs"":2267891},{""eventType"":""playing"",""sessionOffsetMs"":1017196,""mediaOffsetMs"":2267891},{""eventType"":""paused"",""sessionOffsetMs"":1017546,""mediaOffsetMs"":2268590},{""eventType"":""reposition"",""sessionOffsetMs"":1017895,""mediaOffsetMs"":2249039},{""eventType"":""playing"",""sessionOffsetMs"":1018047,""mediaOffsetMs"":2249039},{""eventType"":""paused"",""sessionOffsetMs"":1018443,""mediaOffsetMs"":2249831},{""eventType"":""reposition"",""sessionOffsetMs"":1018839,""mediaOffsetMs"":2239071},{""eventType"":""playing"",""sessionOffsetMs"":1019086,""mediaOffsetMs"":2239071},{""eventType"":""paused"",""sessionOffsetMs"":1596852,""mediaOffsetMs"":2816616},{""eventType"":""stopped"",""sessionOffsetMs"":3397474,""mediaOffsetMs"":2816744}]"
Dad,"Ozark: Season 4: ""The Cousin of Death""",Edge OSS - Mac (Cadmium),2022-05-12 02:38:52,US,"[{""eventType"":""start"",""sessionOffsetMs"":6,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":558,""mediaOffsetMs"":1},{""eventType"":""paused"",""sessionOffsetMs"":857396,""mediaOffsetMs"":856386},{""eventType"":""playing"",""sessionOffsetMs"":2349940,""mediaOffsetMs"":856614},{""eventType"":""stopped"",""sessionOffsetMs"":4670277,""mediaOffsetMs"":1375337}]"
Dad,Season 4 Part 1 Recap: Ozark,Edge OSS - Mac (Cadmium),2022-05-12 02:36:31,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1703,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":142029,""mediaOffsetMs"":140140}]"
Dad,Season 4 Part 1 Reverse Trailer: Ozark,Edge OSS - Mac (Cadmium),2022-05-12 02:36:21,US,"[{""eventType"":""start"",""sessionOffsetMs"":6,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":205,""mediaOffsetMs"":1},{""eventType"":""paused"",""sessionOffsetMs"":2226,""mediaOffsetMs"":1734},{""eventType"":""stopped"",""sessionOffsetMs"":8358,""mediaOffsetMs"":1916}]"
Dad,Season 4 Part 1 Reverse Trailer: Ozark,Edge OSS - Mac (Cadmium),2022-05-12 02:36:19,US,"[{""eventType"":""start"",""sessionOffsetMs"":6,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":665,""mediaOffsetMs"":1},{""eventType"":""paused"",""sessionOffsetMs"":842,""mediaOffsetMs"":100},{""eventType"":""stopped"",""sessionOffsetMs"":1113,""mediaOffsetMs"":110}]"
Dad,U.S. Marshals_hook_primary_16x9,Edge OSS - Mac (Cadmium),2022-05-12 02:36:17,US,"[{""eventType"":""start"",""sessionOffsetMs"":2,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":235,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":1012,""mediaOffsetMs"":711}]"
Dad,The Gentlemen_hook_primary_16x9,Edge OSS - Mac (Cadmium),2022-05-12 02:36:17,US,"[{""eventType"":""start"",""sessionOffsetMs"":2,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":561,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":898,""mediaOffsetMs"":169}]"
Dad,U.S. Marshals_hook_primary_16x9,Edge OSS - Mac (Cadmium),2022-05-12 02:36:09,US,"[{""eventType"":""start"",""sessionOffsetMs"":3,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":912,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":7725,""mediaOffsetMs"":6719}]"
Dad,Season 1 Teaser: The Pentaverate,Edge OSS - Mac (Cadmium),2022-05-12 02:36:05,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1264,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":4231,""mediaOffsetMs"":2705}]"
Dad,Season 1 Trailer: In From the Cold,Edge OSS - Mac (Cadmium),2022-05-12 02:36:02,US,"[{""eventType"":""start"",""sessionOffsetMs"":31,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1786,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":2274,""mediaOffsetMs"":389}]"
Dad,Travelers: Season 3 (Trailer),Edge OSS - Mac (Cadmium),2022-05-12 02:35:42,US,"[{""eventType"":""start"",""sessionOffsetMs"":2,""mediaOffsetMs"":876},{""eventType"":""playing"",""sessionOffsetMs"":583,""mediaOffsetMs"":876},{""eventType"":""paused"",""sessionOffsetMs"":4864,""mediaOffsetMs"":4950},{""eventType"":""playing"",""sessionOffsetMs"":6596,""mediaOffsetMs"":5091},{""eventType"":""paused"",""sessionOffsetMs"":8779,""mediaOffsetMs"":7080},{""eventType"":""playing"",""sessionOffsetMs"":15718,""mediaOffsetMs"":7257},{""eventType"":""paused"",""sessionOffsetMs"":15762,""mediaOffsetMs"":7321},{""eventType"":""stopped"",""sessionOffsetMs"":16226,""mediaOffsetMs"":7337}]"
