Profile Name,Title Desc,Selection Type,Choice Segment Id,Has Watched,Source,Utc Timestamp
Tree,Puss in Book: Trapped in an Epic Tale,countdown_interrupted,Become a Fish,false,tvui,2019-04-02 01:59:58
Tree,Puss in Book: Trapped in an Epic Tale,countdown_interrupted,Wish for Riches,false,tvui,2019-04-02 01:58:18
Tree,Puss in Book: Trapped in an Epic Tale,countdown_interrupted,Wish for a New Hat,true,tvui,2019-04-02 01:56:47
Tree,Puss in Book: Trapped in an Epic Tale,countdown_interrupted,Fight,true,tvui,2019-04-02 01:52:14
Tree,Puss in Book: Trapped in an Epic Tale,countdown_interrupted,Pirate Cat,true,tvui,2019-04-02 01:48:46
Tree,Puss in Book: Trapped in an Epic Tale,countdown_interrupted,Evil Queen,true,tvui,2019-04-02 01:47:43
Tree,Puss in Book: Trapped in an Epic Tale,countdown_interrupted,Bears are Foes,false,tvui,2019-04-02 01:46:02
Tree,Puss in Book: Trapped in an Epic Tale,countdown_interrupted,Kiss,true,tvui,2019-04-02 01:38:13
Tree,Puss in Book: Trapped in an Epic Tale,countdown_interrupted,Find Queen,true,tvui,2019-04-02 01:34:25
Tree,Puss in Book: Trapped in an Epic Tale,countdown_interrupted,Fight a Tree,false,tvui,2019-04-02 01:32:18
Tree,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Male Jesse,true,tvui,2018-12-23 19:02:56
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Build something new.,false,tvui,2018-12-23 18:59:20
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,"Come on, Milo.",false,tvui,2018-12-23 18:57:07
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Have some fun.,false,tvui,2018-12-23 18:54:49
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,I’ll kick your butt.,false,tvui,2018-12-23 18:50:53
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Potion of Invisibility,false,tvui,2018-12-23 18:48:31
